certificate_manifest_hash,checkpoint,collision,energy_consumed,episodes,evidence_scope,geometry_hash,invalid_kappa_fallback_count,method,outbound_intervention,path_length,return_success,scenario_family,scenario_hash,scenario_id,seed,task_success,uncertified_task_publication_count
6dfa148a69affba95467c0d93a07bfbc376c74413c365cacaa5c6d4ef4d0a7a2,artifacts/checkpoints/mission_energy_tight/shield_sac/seed_0/checkpoint_latest.pt,0.0,1.8519176907539012,20,held-out synthetic empirical evaluation,3ccee83a1a6d2d48aab6c9ee479a4295fd5aaabd6b562038ca22c661e0ea428b,0,shield_sac,0.5,3.0279112305835385,1.0,energy_tight,a436644bdde71b4995ada964a71f5709188154bc02e6135fa0f5f3ee76ca262c,energy_tight_heldout_015,0,0.0,0
6b835109cb0e1a6e763a194fa2f76851f0fd5a70cbe0bb51c426ddf51832a152,artifacts/checkpoints/mission_energy_tight/generator_sac/seed_0/checkpoint_latest.pt,0.0,2.5443728102179857,20,held-out synthetic empirical evaluation,3ccee83a1a6d2d48aab6c9ee479a4295fd5aaabd6b562038ca22c661e0ea428b,0,generator_sac,0.0,4.14062445048606,1.0,energy_tight,abb692661be4300e1394707adefb4cfea847e18881a1c06a3f1a279b4fc847a6,energy_tight_heldout_019,0,0.0,0
6b835109cb0e1a6e763a194fa2f76851f0fd5a70cbe0bb51c426ddf51832a152,not_applicable,0.0,2.544372019048068,20,held-out synthetic empirical evaluation,3ccee83a1a6d2d48aab6c9ee479a4295fd5aaabd6b562038ca22c661e0ea428b,0,center_only,0.0,4.1406782727118845,1.0,energy_tight,abb692661be4300e1394707adefb4cfea847e18881a1c06a3f1a279b4fc847a6,energy_tight_heldout_019,0,0.0,0
6b835109cb0e1a6e763a194fa2f76851f0fd5a70cbe0bb51c426ddf51832a152,artifacts/checkpoints/mission_energy_tight/shield_sac/seed_0/checkpoint_latest.pt,0.0,1.931819686047134,20,held-out synthetic empirical evaluation,3ccee83a1a6d2d48aab6c9ee479a4295fd5aaabd6b562038ca22c661e0ea428b,0,shield_sac,0.5,3.059212323316062,1.0,energy_tight,abb692661be4300e1394707adefb4cfea847e18881a1c06a3f1a279b4fc847a6,energy_tight_heldout_019,0,0.0,0
273d53550de37cdd98d2d1ce331ad6f0e64352c8dfa990f5ce0fddce61461135,artifacts/checkpoints/mission_narrow/generator_sac/seed_0/checkpoint_latest.pt,0.0,2.6414811549941613,20,held-out synthetic empirical evaluation,69fff90a0e9ea8da66fd9a7ac7fb41ebf3c53375b26d6b95b1006a17fee91567,0,generator_sac,0.019607843137254898,5.504282101349908,1.0,narrow,07a13883c2232b7d677a8cc0dad3b3d6c01d168e03bfb52447b66a73b951fd92,narrow_heldout_002,0,0.0,0
273d53550de37cdd98d2d1ce331ad6f0e64352c8dfa990f5ce0fddce61461135,not_applicable,0.0,2.641480002039515,20,held-out synthetic empirical evaluation,69fff90a0e9ea8da66fd9a7ac7fb41ebf3c53375b26d6b95b1006a17fee91567,0,center_only,0.019607843137254898,5.503039014494665,1.0,narrow,07a13883c2232b7d677a8cc0dad3b3d6c01d168e03bfb52447b66a73b951fd92,narrow_heldout_002,0,0.0,0
273d53550de37cdd98d2d1ce331ad6f0e64352c8dfa990f5ce0fddce61461135,artifacts/checkpoints/mission_narrow/shield_sac/seed_0/checkpoint_latest.pt,0.0,1.2903751321171244,20,held-out synthetic empirical evaluation,69fff90a0e9ea8da66fd9a7ac7fb41ebf3c53375b26d6b95b1006a17fee91567,0,shield_sac,0.5,2.9038480885008964,1.0,narrow,07a13883c2232b7d677a8cc0dad3b3d6c01d168e03bfb52447b66a73b951fd92,narrow_heldout_002,0,0.0,0
6e16c0ad6d79edbfc767f2bc3d5c0e0b75882db52a67926a0d0979221fb1d392,artifacts/checkpoints/mission_narrow/generator_sac/seed_0/checkpoint_latest.pt,0.0,2.550988851532308,20,held-out synthetic empirical evaluation,af43b3d8d0a9d2264874e5b6470ee96c1e2dfddd00eb254f61d3dcb6ad4b4546,0,generator_sac,0.020000000000000004,5.504801782567097,1.0,narrow,052c521930170730cd4e1239b95bb5a7887b484c6bd3a10f60e41ae5e49a9f30,narrow_heldout_006,0,0.0,0
6e16c0ad6d79edbfc767f2bc3d5c0e0b75882db52a67926a0d0979221fb1d392,not_applicable,0.0,2.5509878269901263,20,held-out synthetic empirical evaluation,af43b3d8d0a9d2264874e5b6470ee96c1e2dfddd00eb254f61d3dcb6ad4b4546,0,center_only,0.020000000000000004,5.503512391092481,1.0,narrow,052c521930170730cd4e1239b95bb5a7887b484c6bd3a10f60e41ae5e49a9f30,narrow_heldout_006,0,0.0,0
6e16c0ad6d79edbfc767f2bc3d5c0e0b75882db52a67926a0d0979221fb1d392,artifacts/checkpoints/mission_narrow/shield_sac/seed_0/checkpoint_latest.pt,0.0,1.2399508764125136,20,held-out synthetic empirical evaluation,af43b3d8d0a9d2264874e5b6470ee96c1e2dfddd00eb254f61d3dcb6ad4b4546,0,shield_sac,0.5,2.890165055497515,1.0,narrow,052c521930170730cd4e1239b95bb5a7887b484c6bd3a10f60e41ae5e49a9f30,narrow_heldout_006,0,0.0,0
