collision_mean,collision_median,collision_std,episode_return_mean,episode_return_median,episode_return_std,mean_residual_norm_mean,mean_residual_norm_median,mean_residual_norm_std,mean_residual_to_center_ratio_mean,mean_residual_to_center_ratio_median,mean_residual_to_center_ratio_std,method,mission_completion_steps_mean,mission_completion_steps_median,mission_completion_steps_std,outbound_intervention_rate_mean,outbound_intervention_rate_median,outbound_intervention_rate_std,return_handoff_rate_mean,return_handoff_rate_median,return_handoff_rate_std,return_success_mean,return_success_median,return_success_std,scenario,seeds,task_completion_steps_mean,task_completion_steps_median,task_completion_steps_std,task_success_mean,task_success_median,task_success_std,terminal_energy_mean,terminal_energy_median,terminal_energy_std,total_energy_consumed_mean,total_energy_consumed_median,total_energy_consumed_std,total_path_length_mean,total_path_length_median,total_path_length_std
0.0,0.0,0.0,109.56391481913263,109.56391481913263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,center_only,451.0,451.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,mission_obstacle,5,146.0,146.0,0.0,1.0,1.0,0.0,24.53251795977962,24.53251795977962,0.0,5.467482040220378,5.467482040220378,0.0,10.063971994732052,10.063971994732052,0.0
0.0,0.0,0.0,109.5665549817038,109.56479828278665,0.00540951340136995,0.005419230749957775,0.005419230749957775,0.0,0.5811460434673122,0.5811460434673122,0.0,generator_sac,450.85,450.85,0.07071067811864672,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,mission_obstacle,5,,,,1.0,1.0,0.0,24.53416266419247,24.534167621287526,0.0008489444915312224,5.465837335807534,5.465832378712474,0.0008489444915323479,10.063574632751678,10.063612137621153,0.0004022984367455154
0.0,0.0,0.0,109.56435322682458,109.56412639645848,0.001137403493978831,,,,,,,random_generator,451.03000000000003,451.05,0.10295630140986028,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,mission_obstacle,5,146.03,146.05,0.10295630140987298,1.0,1.0,0.0,24.531987826315397,24.531756174293072,0.0012338381968287902,5.468012173684604,5.46824382570693,0.0012338381968285785,10.0652160003826,10.06555301778967,0.0006081898397650033
0.0,0.0,0.0,2.9247631438106336,3.4512426859657674,1.1038515330089742,,,,,,,sac,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,mission_obstacle,5,,,,0.0,0.0,0.0,29.37053498689925,29.382124146879327,0.01940795376183425,0.6294650131007448,0.6178758531206737,0.019407953761833026,1.240949850878319,1.220861981444021,0.0741939138489204
0.0,0.0,0.0,25.776698552790748,25.78927830610902,0.14371131774071375,,,,,,,shield_sac,152.21,152.25,0.9671607932500197,0.35463492063492064,0.34916666666666674,0.02232292093776597,1.0,1.0,0.0,1.0,1.0,0.0,mission_obstacle,5,,,,0.0,0.0,0.0,28.157526814803,28.157007856369187,0.0116662238383093,1.8424731851970015,1.8429921436308099,0.011666223838311333,3.007071758218083,3.0101967996756267,0.007774610101763951
0.0,0.0,0.0,81.97770896942323,81.97770896942323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,center_only,226.0,226.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,mission_open,5,21.0,21.0,0.0,1.0,1.0,0.0,27.26270512938147,27.26270512938147,0.0,2.7372948706185296,2.7372948706185296,0.0,4.8340006344385005,4.8340006344385005,0.0
0.0,0.0,0.0,81.94846259402212,81.94930895054334,0.002323242627926498,0.006238536586273818,0.006238536586273818,0.0,0.5126382449932099,0.5126382449932099,0.0,generator_sac,226.0,226.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,mission_open,5,,,,1.0,1.0,0.0,27.26266078236469,27.26266042928908,2.115797361920583e-06,2.737339217635307,2.737339570710918,2.1157973628145472e-06,4.833999388971381,4.833928696629378,0.00010146352613538872
0.0,0.0,0.0,81.98102878380328,81.981804958262,0.003980402093194991,,,,,,,random_generator,226.0,226.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,mission_open,5,21.0,21.0,0.0,1.0,1.0,0.0,27.262659807855222,27.26265943274051,2.384804227954712e-06,2.737340192144783,2.737340567259497,2.384804230019977e-06,4.834025587871005,4.834047280248926,6.392127137802278e-05
0.0,0.0,0.0,1.746099394762512,2.9175015529950072,2.749601382940302,,,,,,,sac,,,,0.0,0.0,0.0,0.99,1.0,0.020000000000000018,0.0,0.0,0.0,mission_open,5,,,,0.0,0.0,0.0,29.368430012716694,29.382122931041085,0.022859910251614202,0.6315699872833098,0.6178770689589136,0.022859910251611278,1.2525581761837286,1.2208823967922184,0.08527862184367895
0.0,0.0,0.0,25.83858506093957,25.83627011363392,0.01960981050577473,,,,,,,shield_sac,151.14000000000001,151.1,0.5003998401278762,0.4886666666666667,0.48500000000000004,0.04845845872726684,1.0,1.0,0.0,1.0,1.0,0.0,mission_open,5,,,,0.0,0.0,0.0,28.170377014222066,28.170869503118013,0.006025294990578221,1.829622985777932,1.8291304968819808,0.006025294990580423,3.0211617821235053,3.0219626262642714,0.002856351897504125
