T_certificate_p99,T_plant_p99,T_policy_p99,T_total_p99,T_watchdog_p99,method,scenario,timing_scope
0.003901686665718448,0.0013708792647812518,0.000522757868980989,0.014808618722250696,0.0015935049047693614,generator_sac,mission_energy_tight,"desktop profiling, not WCET"
0.008236415852792563,0.0016796708828769624,0.0005175517887109892,0.023130943639669575,0.001854080784483813,generator_sac,mission_narrow,"desktop profiling, not WCET"
0.008229398797382602,0.001635182249709033,0.0005037289641331883,0.023224302702234127,0.0018811463576275862,generator_sac,mission_obstacle,"desktop profiling, not WCET"
0.004573643929557876,0.0013779900152003394,0.000517267983988859,0.015853469082387175,0.0016597701605642217,generator_sac,mission_open,"desktop profiling, not WCET"
,0.0020489023892441764,0.0006725418922724205,0.0020489023892441764,,penalty_sac,mission_energy_tight,"desktop profiling, not WCET"
,0.002380402570939623,0.0006867900193901733,0.002380402570939623,,penalty_sac,mission_narrow,"desktop profiling, not WCET"
,0.0023814534314442427,0.0006780732299666855,0.0023814534314442427,,penalty_sac,mission_obstacle,"desktop profiling, not WCET"
,0.00204175912484061,0.0006703940483275804,0.00204175912484061,,penalty_sac,mission_open,"desktop profiling, not WCET"
,0.002156219657277689,0.0007262409307295457,0.002156219657277689,,sac,mission_energy_tight,"desktop profiling, not WCET"
,0.002484554443508387,0.0007346338909119368,0.002484554443508387,,sac,mission_narrow,"desktop profiling, not WCET"
,0.0024820068960543723,0.0007317019471665845,0.0024820068960543723,,sac,mission_obstacle,"desktop profiling, not WCET"
,0.002154396189143882,0.0007160071196267385,0.002154396189143882,,sac,mission_open,"desktop profiling, not WCET"
0.00279342310433276,0.001335231728618965,0.0007020156322978438,0.010716470675775785,2.37297273706645e-05,shield_sac,mission_energy_tight,"desktop profiling, not WCET"
0.004527588822995315,0.0017266721863998101,0.0007254188492661344,0.016683918157243183,3.153288864996287e-05,shield_sac,mission_narrow,"desktop profiling, not WCET"
0.004116226445534266,0.0017215762212872507,0.0007033239043084907,0.01515041182551068,3.055522788781674e-05,shield_sac,mission_obstacle,"desktop profiling, not WCET"
0.0028090263176709417,0.0013326530226040634,0.0006803991860942919,0.010774169334326872,2.2730132681317638e-05,shield_sac,mission_open,"desktop profiling, not WCET"
