collision_mean,collision_std,episode_return_mean,episode_return_std,fallback_mean,method,outbound_intervention_mean,return_success_mean,return_success_std,scenario,task_success_mean,task_success_std,zonotope_volume_mean
0.0,0.0,28.521473623600155,0.0022603338573743913,0.9342,generator_sac,0.0,1.0,0.0,mission_energy_tight,0.0,0.0,1.987213872430752e-06
0.0,0.0,34.166009741281314,0.0019540713232109124,0.76,generator_sac,0.019607843137254943,1.0,0.0,mission_narrow,0.0,0.0,1.273365404702009e-06
0.0,0.0,109.56479757435613,0.0007870156958457404,0.671,generator_sac,0.0,1.0,0.0,mission_obstacle,1.0,0.0,1.2241480395070735e-06
0.0,0.0,81.96286847306378,0.0009072492498572032,0.9055,generator_sac,0.0,1.0,0.0,mission_open,1.0,0.0,1.6163135882152347e-06
0.22862222277900943,0.11536781710973737,-20.694662999117817,2.9654644964381416,0.0,penalty_sac,0.0,0.0,0.0,mission_energy_tight,0.08911295927244621,0.01513897584073449,0.0
0.29775653513128636,0.08018433925433334,-18.0330077816341,0.6676868752157574,0.0,penalty_sac,0.0,0.0,0.0,mission_narrow,0.0,0.0,0.0
0.23491217834176661,0.059480892787228776,-17.699973746830487,0.8796857775900507,0.0,penalty_sac,0.0,0.0,0.0,mission_obstacle,0.0,0.0,0.0
0.32579429070957594,0.19304034470929488,-23.113457422297394,4.602866841399723,0.0,penalty_sac,0.0,0.0,0.0,mission_open,0.06318089199591388,0.03065345099865853,0.0
0.22396932947868103,0.21783670323000498,-1.79375337299943,5.234288796447217,0.0,sac,0.0,0.0,0.0,mission_energy_tight,0.03315231996015489,0.020569397157076848,0.0
0.24620890537199897,0.12955027443703293,0.7181519935537469,2.4797388055007272,0.0,sac,0.0,0.0,0.0,mission_narrow,0.0,0.0,0.0
0.18739369015258894,0.07084558961929975,1.7845748231232375,1.6568232748586695,0.0,sac,0.0,0.0,0.0,mission_obstacle,0.0,0.0,0.0
0.2424460901716859,0.26650736543603454,-2.1665651447794563,5.592801626189535,0.0,sac,0.0,0.0,0.0,mission_open,0.027814333976502136,0.016017786540149268,0.0
0.0,0.0,25.89334996355966,0.005503988112373156,0.99092,shield_sac,0.5202767787767788,1.0,0.0,mission_energy_tight,0.0,0.0,0.0
0.0,0.0,26.022169955962102,0.005004890185711917,0.9800000000000001,shield_sac,0.40032564228440515,1.0,0.0,mission_narrow,0.0,0.0,0.0
0.0,0.0,25.960744124419033,0.015449391134959434,0.98246,shield_sac,0.32998046398046393,1.0,0.0,mission_obstacle,0.0,0.0,0.0
0.0,0.0,25.89314148923243,0.0058137383261018015,0.9900400000000001,shield_sac,0.4934011544011545,1.0,0.0,mission_open,0.0,0.0,0.0
