ci95_high,ci95_low,environment_step,mean,method,scenario,seeds,std
0.1445809904095274,0.020451689329034718,3000,0.08251633986928106,penalty_sac,mission_open,5,0.07080651918763259
0.05433239529682806,0.008942458504341534,4000,0.0316374269005848,penalty_sac,mission_open,5,0.025891577592453738
0.12703264076731693,0.017288429466796783,5000,0.07216053511705686,penalty_sac,mission_open,5,0.0626008970931285
0.15523861021037977,0.06522566745470923,6000,0.1102321388325445,penalty_sac,mission_open,5,0.051345678279713404
0.09114890445432897,0.05476859198948325,7000,0.07295874822190611,penalty_sac,mission_open,5,0.02075225809032601
0.15701882585383198,0.04972873060049896,8000,0.10337377822716547,penalty_sac,mission_open,5,0.06120100670889799
0.1434086024612799,0.001849842797165352,9000,0.07262922262922263,penalty_sac,mission_open,5,0.08074872689273353
0.08769833052970946,0.005499338667979678,10000,0.04659883459884457,penalty_sac,mission_open,5,0.04688840139917852
0.03238914463952747,-0.008859732874821589,1000,0.011764705882352941,sac,mission_energy_tight,5,0.023529411764705882
0.04607858250466945,-0.0016341380602250162,2000,0.02222222222222222,sac,mission_energy_tight,5,0.02721655269759087
0.11924860031684303,0.0328522400192914,3000,0.07605042016806722,sac,mission_energy_tight,5,0.04928268740660445
0.1775958776724446,0.03720931713275018,4000,0.10740259740259739,sac,mission_energy_tight,5,0.08008007461585365
0.08889635586843822,0.02819024070999139,5000,0.058543298289214805,sac,mission_energy_tight,5,0.034628316363320796
0.21394045853933383,0.045878589549932486,6000,0.12990952404463316,sac,mission_energy_tight,5,0.09586677639948094
0.06719341423004094,-0.013117046840980046,7000,0.027038183694530444,sac,mission_energy_tight,5,0.04581113527019222
0.03514566758757236,-0.009613752693955336,8000,0.01276595744680851,sac,mission_energy_tight,5,0.025531914893617016
0.019664837816855962,-0.005379123531141678,9000,0.007142857142857143,sac,mission_energy_tight,5,0.014285714285714285
0.0,0.0,10000,0.0,sac,mission_energy_tight,5,0.0
0.0,0.0,1000,0.0,sac,mission_narrow,5,0.0
0.0,0.0,2000,0.0,sac,mission_narrow,5,0.0
0.0,0.0,3000,0.0,sac,mission_narrow,5,0.0
0.0,0.0,4000,0.0,sac,mission_narrow,5,0.0
0.0,0.0,5000,0.0,sac,mission_narrow,5,0.0
0.0,0.0,6000,0.0,sac,mission_narrow,5,0.0
0.0,0.0,7000,0.0,sac,mission_narrow,5,0.0
0.0,0.0,8000,0.0,sac,mission_narrow,5,0.0
0.0,0.0,9000,0.0,sac,mission_narrow,5,0.0
0.0,0.0,10000,0.0,sac,mission_narrow,5,0.0
0.0,0.0,1000,0.0,sac,mission_obstacle,5,0.0
0.0,0.0,2000,0.0,sac,mission_obstacle,5,0.0
0.0,0.0,3000,0.0,sac,mission_obstacle,5,0.0
0.0,0.0,4000,0.0,sac,mission_obstacle,5,0.0
0.0,0.0,5000,0.0,sac,mission_obstacle,5,0.0
0.0,0.0,6000,0.0,sac,mission_obstacle,5,0.0
0.0,0.0,7000,0.0,sac,mission_obstacle,5,0.0
0.0,0.0,8000,0.0,sac,mission_obstacle,5,0.0
0.0,0.0,9000,0.0,sac,mission_obstacle,5,0.0
0.0,0.0,10000,0.0,sac,mission_obstacle,5,0.0
0.03238914463952747,-0.008859732874821589,1000,0.011764705882352941,sac,mission_open,5,0.023529411764705882
0.07861866653204486,-0.007566034953097496,2000,0.035526315789473684,sac,mission_open,5,0.049161951821761585
0.17550800636135044,0.03094562772386257,3000,0.1032268170426065,sac,mission_open,5,0.08246206776083834
0.0851482577086137,-0.0030429945507189707,4000,0.04105263157894737,sac,mission_open,5,0.05030653955936219
0.10073793173064267,0.021236989899451372,5000,0.06098746081504702,sac,mission_open,5,0.04534936484943887
0.08981276753130688,0.017761969008946894,6000,0.05378736827012689,sac,mission_open,5,0.041099613094167944
0.08168347191620667,-0.006433765688239584,7000,0.037624853113983545,sac,mission_open,5,0.05026431971251086
0.05453058538564626,-0.002708723037468122,8000,0.025910931174089068,sac,mission_open,5,0.03265076138243879
0.01147115539316598,-0.003137822059832645,9000,0.004166666666666667,sac,mission_open,5,0.008333333333333333
0.008218141177193538,-0.0022479919234621947,10000,0.0029850746268656717,sac,mission_open,5,0.005970149253731344
0.0,0.0,1000,0.0,shield_sac,mission_energy_tight,5,0.0
0.0,0.0,2000,0.0,shield_sac,mission_energy_tight,5,0.0
0.0,0.0,3000,0.0,shield_sac,mission_energy_tight,5,0.0
0.0,0.0,4000,0.0,shield_sac,mission_energy_tight,5,0.0
0.0,0.0,5000,0.0,shield_sac,mission_energy_tight,5,0.0
0.0,0.0,6000,0.0,shield_sac,mission_energy_tight,5,0.0
0.0,0.0,7000,0.0,shield_sac,mission_energy_tight,5,0.0
0.0,0.0,8000,0.0,shield_sac,mission_energy_tight,5,0.0
0.0,0.0,9000,0.0,shield_sac,mission_energy_tight,5,0.0
0.0,0.0,10000,0.0,shield_sac,mission_energy_tight,5,0.0
0.0,0.0,1000,0.0,shield_sac,mission_narrow,5,0.0
0.0,0.0,2000,0.0,shield_sac,mission_narrow,5,0.0
0.0,0.0,3000,0.0,shield_sac,mission_narrow,5,0.0
0.0,0.0,4000,0.0,shield_sac,mission_narrow,5,0.0
0.0,0.0,5000,0.0,shield_sac,mission_narrow,5,0.0
0.0,0.0,6000,0.0,shield_sac,mission_narrow,5,0.0
0.0,0.0,7000,0.0,shield_sac,mission_narrow,5,0.0
0.0,0.0,8000,0.0,shield_sac,mission_narrow,5,0.0
0.0,0.0,9000,0.0,shield_sac,mission_narrow,5,0.0
0.0,0.0,10000,0.0,shield_sac,mission_narrow,5,0.0
0.0,0.0,1000,0.0,shield_sac,mission_obstacle,5,0.0
0.0,0.0,2000,0.0,shield_sac,mission_obstacle,5,0.0
0.0,0.0,3000,0.0,shield_sac,mission_obstacle,5,0.0
0.0,0.0,4000,0.0,shield_sac,mission_obstacle,5,0.0
0.0,0.0,5000,0.0,shield_sac,mission_obstacle,5,0.0
0.0,0.0,6000,0.0,shield_sac,mission_obstacle,5,0.0
0.0,0.0,7000,0.0,shield_sac,mission_obstacle,5,0.0
0.0,0.0,8000,0.0,shield_sac,mission_obstacle,5,0.0
0.0,0.0,9000,0.0,shield_sac,mission_obstacle,5,0.0
0.0,0.0,10000,0.0,shield_sac,mission_obstacle,5,0.0
0.0,0.0,1000,0.0,shield_sac,mission_open,5,0.0
0.0,0.0,2000,0.0,shield_sac,mission_open,5,0.0
0.0,0.0,3000,0.0,shield_sac,mission_open,5,0.0
0.0,0.0,4000,0.0,shield_sac,mission_open,5,0.0
0.0,0.0,5000,0.0,shield_sac,mission_open,5,0.0
0.0,0.0,6000,0.0,shield_sac,mission_open,5,0.0
0.0,0.0,7000,0.0,shield_sac,mission_open,5,0.0
0.0,0.0,8000,0.0,shield_sac,mission_open,5,0.0
0.0,0.0,9000,0.0,shield_sac,mission_open,5,0.0
0.0,0.0,10000,0.0,shield_sac,mission_open,5,0.0
