checkpoint_seeds,collision_ci95_high,collision_ci95_low,collision_mean,collision_std,energy_consumed_ci95_high,energy_consumed_ci95_low,energy_consumed_mean,energy_consumed_std,evaluation_episodes_per_scenario,heldout_scenarios,method,outbound_intervention_ci95_high,outbound_intervention_ci95_low,outbound_intervention_mean,outbound_intervention_std,path_length_ci95_high,path_length_ci95_low,path_length_mean,path_length_std,return_success_ci95_high,return_success_ci95_low,return_success_mean,return_success_std,scenario_family,scope,task_success_ci95_high,task_success_ci95_low,task_success_mean,task_success_std
1,0.0,0.0,0.0,0.0,2.7435280396999397,2.602954585490142,2.673241312595041,0.08018668353190339,20,5,center_only,0.0,0.0,0.0,0.0,4.680604614537622,4.304842122611645,4.492723368574634,0.2143445090156121,1.0,1.0,1.0,0.0,energy_tight,single-checkpoint-seed held-out synthetic empirical evaluation,0.5506154588719671,-0.15061545887196703,0.2,0.4000000000000001
1,0.0,0.0,0.0,0.0,2.7435304316698854,2.602956792549784,2.6732436121098346,0.08018678900945667,20,5,generator_sac,0.0,0.0,0.0,0.0,4.680544545442951,4.304796183062111,4.492670364252531,0.2143364491627,1.0,1.0,1.0,0.0,energy_tight,single-checkpoint-seed held-out synthetic empirical evaluation,0.5506154588719671,-0.15061545887196703,0.2,0.4000000000000001
1,0.0,0.0,0.0,0.0,1.966431470443635,1.8934647724762883,1.9299481214599616,0.04162206549711297,20,5,shield_sac,0.5,0.5,0.5,0.0,3.047411239337238,3.023993676965295,3.0357024581512664,0.013357974829338435,1.0,1.0,1.0,0.0,energy_tight,single-checkpoint-seed held-out synthetic empirical evaluation,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,2.63070509645217,2.5637923715739768,2.5972487340130734,0.03816872484371971,20,5,center_only,0.019823770768185086,0.019548778251422757,0.01968627450980392,0.00015686274509804228,5.503317804155268,5.502672645850842,5.502995225003055,0.00036801475126193873,1.0,1.0,1.0,0.0,narrow,single-checkpoint-seed held-out synthetic empirical evaluation,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,2.6307061659706816,2.5637933008271405,2.597249733398911,0.03816880485465146,20,5,generator_sac,0.019823770768185086,0.019548778251422757,0.01968627450980392,0.00015686274509804228,5.504559300568806,5.503893708970844,5.504226504769825,0.0003796704230339491,1.0,1.0,1.0,0.0,narrow,single-checkpoint-seed held-out synthetic empirical evaluation,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,1.2848685808909412,1.245331316983869,1.265099948937405,0.022553063709327185,20,5,shield_sac,0.5,0.5,0.5,0.0,2.905669797493018,2.8949864889226387,2.9003281432078283,0.0060940316806054615,1.0,1.0,1.0,0.0,narrow,single-checkpoint-seed held-out synthetic empirical evaluation,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,5.585167898181883,5.449609072504812,5.517388485343347,0.07732621152142231,20,5,center_only,0.0,0.0,0.0,0.0,10.199065009473443,9.931653378969546,10.065359194221495,0.15253841422978862,1.0,1.0,1.0,0.0,obstacle,single-checkpoint-seed held-out synthetic empirical evaluation,1.0,1.0,1.0,0.0
1,0.0,0.0,0.0,0.0,5.585162901507377,5.449602791385911,5.517382846446644,0.07732694420126418,20,5,generator_sac,0.0,0.0,0.0,0.0,10.197517655269824,9.930241651735919,10.063879653502871,0.15246104914701064,1.0,1.0,1.0,0.0,obstacle,single-checkpoint-seed held-out synthetic empirical evaluation,1.0,1.0,1.0,0.0
1,0.0,0.0,0.0,0.0,2.0073006808378264,1.980803271800259,1.9940519763190427,0.015114797917249411,20,5,shield_sac,0.14426112331983315,0.12161189255318267,0.1329365079365079,0.01291969888579341,3.0417393371311015,3.023517496528256,3.0326284168296787,0.010394202618145098,1.0,1.0,1.0,0.0,obstacle,single-checkpoint-seed held-out synthetic empirical evaluation,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,2.8507714675551927,2.7418979464320286,2.7963347069936106,0.0621042332094783,20,5,center_only,0.0,0.0,0.0,0.0,4.922483911841707,4.829095537425375,4.875789724633541,0.053271110587531104,1.0,1.0,1.0,0.0,open,single-checkpoint-seed held-out synthetic empirical evaluation,1.0,1.0,1.0,0.0
1,0.0,0.0,0.0,0.0,2.850766970725487,2.7418959111303645,2.7963314409279256,0.06210282909110303,20,5,generator_sac,0.0,0.0,0.0,0.0,4.922205548589306,4.828979483175616,4.875592515882461,0.05317852539282011,1.0,1.0,1.0,0.0,open,single-checkpoint-seed held-out synthetic empirical evaluation,1.0,1.0,1.0,0.0
1,0.0,0.0,0.0,0.0,1.9935005390057774,1.9020140333961044,1.947757286200941,0.052186236114067454,20,5,shield_sac,0.4715690808473417,0.3284309191526582,0.39999999999999997,0.08164965809277264,3.047465164526458,3.0299344217068116,3.038699793116635,0.009999982816529758,1.0,1.0,1.0,0.0,open,single-checkpoint-seed held-out synthetic empirical evaluation,0.0,0.0,0.0,0.0
