collision,energy_depleted,episode_id,episode_length,episode_return,outbound_path_length,return_path_length,return_success,task_success,terminal_energy,timeout,total_path_length
1,0,0,145,-56.82575202318594,4.201475867227147,0.0,0,0,28.227877970570542,0,4.201475867227147
1,0,1,35,-37.26087656424653,0.9734175988453081,0.0,0,0,29.572290926656517,0,0.9734175988453081
1,0,2,22,-35.335755108660756,0.5796549492756049,0.0,0,0,29.73112880841712,0,0.5796549492756049
1,0,3,25,-34.98921449138279,0.5219622786065868,0.0,0,0,29.69557487390347,0,0.5219622786065868
0,0,4,260,-37.193049486448174,7.332501761366613,0.0,0,0,26.820885044565294,0,7.332501761366613
1,0,5,26,-34.00288255579424,0.8786386811041355,0.0,0,0,29.68185939620475,0,0.8786386811041355
0,0,6,26,-16.527469997744287,0.6974057788534896,0.0,0,0,29.6820833214922,0,0.6974057788534896
1,0,7,93,-32.7530879165535,1.4849699606963664,0.0,0,0,28.870411360581386,0,1.4849699606963664
0,0,8,165,-40.11724101210338,4.3275185860561685,0.0,0,0,27.98400726009784,0,4.3275185860561685
1,0,9,97,-58.53469537557095,4.126368822224298,0.0,0,0,28.804061409785902,0,4.126368822224298
1,0,10,43,-32.171459584443134,1.3483624322592904,0.0,0,0,29.472042120791933,0,1.3483624322592904
1,0,11,88,-40.00927196821079,1.6765447917674499,0.0,0,0,28.929257901090754,0,1.6765447917674499
1,0,12,73,-42.595515455212904,2.131246282764087,0.0,0,0,29.10629020511115,0,2.131246282764087
1,0,13,45,-35.4783939186057,0.9293050229107186,0.0,0,0,29.4526137902085,0,0.9293050229107186
1,0,14,46,-35.97350487955906,0.8761799112384353,0.0,0,0,29.440364032704565,0,0.8761799112384353
1,0,15,114,-36.00005267751417,2.1640009479123274,0.0,0,0,28.61388996785416,0,2.1640009479123274
0,0,16,16,-20.83716705007904,0.2301717604976192,0.0,0,0,29.806098122095158,0,0.2301717604976192
1,0,17,57,-32.58542574586657,1.7949972992900436,0.0,0,0,29.302283312643425,0,1.7949972992900436
0,0,18,20,-21.70538819073125,0.6990252110157094,0.0,0,0,29.755256467811687,0,0.6990252110157094
1,0,19,131,-48.626076168151556,3.5282378394362515,0.0,0,0,28.399877897957843,0,3.5282378394362515
1,0,20,33,-36.76373518332309,0.8869144718057638,0.0,0,0,29.596729253136182,0,0.8869144718057638
0,0,21,61,-26.564029670455067,2.0232285891695194,0.0,0,0,29.251512128113287,0,2.0232285891695194
1,0,22,41,-31.028278033137553,1.2394062377066408,0.0,0,0,29.49791794119583,0,1.2394062377066408
0,0,23,63,-31.27122221335314,2.5649594873878874,0.0,0,0,29.22287889364134,0,2.5649594873878874
1,0,24,33,-31.346820219708203,0.9325096598174609,0.0,0,0,29.59688025891133,0,0.9325096598174609
0,0,25,104,-36.81463217398968,3.4537763774142793,0.0,0,0,28.726062314667157,0,3.4537763774142793
1,0,26,56,-32.37944931868553,1.2222966000194804,0.0,0,0,29.31783148154579,0,1.2222966000194804
1,0,27,39,-33.7337755405821,0.9520343435066264,0.0,0,0,29.523895162488905,0,0.9520343435066264
