method,scenario,environment_step,reward_mean,reward_std,samples
generator_sac,mission_energy_tight,100,0.10350375614219037,0.15357074553750033,300
generator_sac,mission_energy_tight,200,0.14897735373166066,0.1791256437443158,300
generator_sac,mission_energy_tight,300,0.11026843984979734,0.1505592674809153,300
generator_sac,mission_energy_tight,400,0.17762086007399158,0.17141163477147925,300
generator_sac,mission_energy_tight,500,0.058631699220945514,0.1198280829174229,300
generator_sac,mission_energy_tight,600,0.1949902758107025,0.17627634956753122,300
generator_sac,mission_energy_tight,700,0.08945000308151498,0.1383081826425292,300
generator_sac,mission_energy_tight,800,0.1484968605632541,0.17419310564830173,300
generator_sac,mission_energy_tight,900,0.1359380929559361,0.1596848536663366,300
generator_sac,mission_energy_tight,1000,0.15308576262068546,0.1690993342125344,300
generator_sac,mission_energy_tight,1100,0.12989479821576688,0.16549896401418268,300
generator_sac,mission_energy_tight,1200,0.11540384370301583,0.16019432118507757,300
generator_sac,mission_energy_tight,1300,0.16087841459490984,0.1599301796624003,300
generator_sac,mission_energy_tight,1400,0.08394857236021112,0.15645247438330379,300
generator_sac,mission_energy_tight,1500,0.17878940580030447,0.16886257057998041,300
generator_sac,mission_energy_tight,1600,0.11057236079639525,0.15261873468135073,300
generator_sac,mission_energy_tight,1700,0.14677953309766462,0.18043253422769778,300
generator_sac,mission_energy_tight,1800,0.09216959197672281,0.13242417195999162,300
generator_sac,mission_energy_tight,1900,0.19634893221580393,0.17686834866231962,300
generator_sac,mission_energy_tight,2000,0.05908673730103703,0.11978757969075968,300
generator_sac,mission_narrow,100,0.11729715600072024,0.15528649729114333,300
generator_sac,mission_narrow,200,0.21526218394497576,0.18812372072011233,300
generator_sac,mission_narrow,300,0.12417022190510908,0.16338475186655352,300
generator_sac,mission_narrow,400,0.18058550351501376,0.1841809385055043,300
generator_sac,mission_narrow,500,0.15266725809269108,0.18224437512141212,300
generator_sac,mission_narrow,600,0.15240766246768225,0.17065974128287226,300
generator_sac,mission_narrow,700,0.17664950935639584,0.1962075282805861,300
generator_sac,mission_narrow,800,0.14811400399135569,0.1685059081685757,300
generator_sac,mission_narrow,900,0.1877982528476924,0.19451991272554528,300
generator_sac,mission_narrow,1000,0.15744374224586663,0.1605662897774816,300
generator_sac,mission_narrow,1100,0.19045068620912312,0.1910157477191743,300
generator_sac,mission_narrow,1200,0.14748152929690186,0.16953541535304845,300
generator_sac,mission_narrow,1300,0.1862168138080422,0.17674565931683284,300
generator_sac,mission_narrow,1400,0.1267996297264934,0.17977997200461912,300
generator_sac,mission_narrow,1500,0.17893058346983867,0.17081166658051278,300
generator_sac,mission_narrow,1600,0.12485870252558953,0.1764028303993313,300
generator_sac,mission_narrow,1700,0.18708118328404336,0.17882345982213274,300
generator_sac,mission_narrow,1800,0.11705580216685813,0.16605801316373212,300
generator_sac,mission_narrow,1900,0.21759105710068127,0.18543401685394817,300
generator_sac,mission_narrow,2000,0.10341959095966007,0.16151980039242608,300
generator_sac,mission_obstacle,100,0.17864806720662416,0.16167630349212364,300
generator_sac,mission_obstacle,200,0.25680710425502246,2.0247581403558446,300
generator_sac,mission_obstacle,300,0.09695188893519134,0.10333810235842528,300
generator_sac,mission_obstacle,400,0.17131301989066605,0.1630759213127751,300
generator_sac,mission_obstacle,500,0.4683798666614416,2.981512064695225,300
generator_sac,mission_obstacle,600,0.36291865784777216,2.0136649744582793,300
generator_sac,mission_obstacle,700,0.03817651600189876,0.1421388179069579,300
generator_sac,mission_obstacle,800,0.13302031656729818,0.1443867529080502,300
generator_sac,mission_obstacle,900,0.18293951566812539,0.1641170606428196,300
generator_sac,mission_obstacle,1000,0.47879551675149257,2.981056814065746,300
generator_sac,mission_obstacle,1100,0.2559136828970011,2.0247693715081163,300
generator_sac,mission_obstacle,1200,0.09713079304397707,0.10353093051178663,300
generator_sac,mission_obstacle,1300,0.16969831397157853,0.1620880776640089,300
generator_sac,mission_obstacle,1400,0.46326588289971404,2.981914254019065,300
generator_sac,mission_obstacle,1500,0.36769090175135327,2.0139192709479747,300
generator_sac,mission_obstacle,1600,0.039650378612477395,0.14351236369500092,300
generator_sac,mission_obstacle,1700,0.1345483302025877,0.14398885119486518,300
generator_sac,mission_obstacle,1800,0.18043584756663403,0.1650448762993143,300
generator_sac,mission_obstacle,1900,0.4799842592447709,2.9809422514269017,300
generator_sac,mission_obstacle,2000,0.2523366175408868,2.0249923263876917,300
generator_sac,mission_open,100,0.32593360094556867,2.0244232392818335,300
generator_sac,mission_open,200,0.16160936326693995,0.17335926156336495,300
generator_sac,mission_open,300,0.5933776004325597,3.591182341610265,300
generator_sac,mission_open,400,0.16762315164735733,0.1700805996242061,300
generator_sac,mission_open,500,0.6499491270999276,3.5844473299132633,300
generator_sac,mission_open,600,0.15252709754895794,0.1692745259713093,300
generator_sac,mission_open,700,0.6671008036289874,3.5819428342416786,300
generator_sac,mission_open,800,0.0751005744345688,0.14452087913078068,300
generator_sac,mission_open,900,0.18039954461876845,0.16843972493408418,300
generator_sac,mission_open,1000,0.6176806518664988,3.588562413145088,300
generator_sac,mission_open,1100,0.17762086038752406,0.17141163378103702,300
generator_sac,mission_open,1200,0.5915713591067301,3.5916814716280614,300
generator_sac,mission_open,1300,0.1555182719096469,0.17131622060667792,300
generator_sac,mission_open,1400,0.6587835888318423,3.583270224006476,300
generator_sac,mission_open,1500,0.1476922750288899,0.16953871579410057,300
generator_sac,mission_open,1600,0.4632675496919626,2.9828156913136565,300
generator_sac,mission_open,1700,0.2864916000222827,2.0271915635901214,300
generator_sac,mission_open,1800,0.17042063559590226,0.17107336501531506,300
generator_sac,mission_open,1900,0.6107771744179596,3.5890326118860982,300
generator_sac,mission_open,2000,0.19321689244889204,0.1754728430033767,300
penalty_sac,mission_energy_tight,100,-0.4666623018352925,3.1609159393304727,300
penalty_sac,mission_energy_tight,200,-0.712198653743201,4.036183811844387,300
penalty_sac,mission_energy_tight,300,-0.49942902944222234,3.422064241265316,300
penalty_sac,mission_energy_tight,400,-0.48434749286180323,3.46459544369271,300
penalty_sac,mission_energy_tight,500,-0.48579469791768426,3.1777368684158844,300
penalty_sac,mission_energy_tight,600,-0.5341899799387081,3.411085587875328,300
penalty_sac,mission_energy_tight,700,-0.5770230290810662,4.20341058335122,300
penalty_sac,mission_energy_tight,800,-0.1367878517097122,2.4070252521797597,300
penalty_sac,mission_energy_tight,900,-0.4526553120579076,3.4485069850595207,300
penalty_sac,mission_energy_tight,1000,-0.7579854968865178,4.1835705658884805,300
penalty_sac,mission_energy_tight,1100,-0.632102333415436,3.604219903402902,300
penalty_sac,mission_energy_tight,1200,-0.5187015192938117,3.6451041156250734,300
penalty_sac,mission_energy_tight,1300,-0.4324584909866708,3.2408714425006844,300
penalty_sac,mission_energy_tight,1400,-0.7262695618581158,3.733776702845319,300
penalty_sac,mission_energy_tight,1500,-0.35453546632998906,3.0173254808295855,300
penalty_sac,mission_energy_tight,1600,-0.8921936652266781,4.711599720212605,300
penalty_sac,mission_energy_tight,1700,-0.39890395139564955,3.5924222063560953,300
penalty_sac,mission_energy_tight,1800,-0.5013903652100785,3.6341448975185537,300
penalty_sac,mission_energy_tight,1900,-0.6618620076116403,3.78592426666109,300
penalty_sac,mission_energy_tight,2000,-0.5230743685266722,3.4460528311290943,300
penalty_sac,mission_narrow,100,-0.6286466149925936,3.966933777874169,300
penalty_sac,mission_narrow,200,-0.5544593262954071,3.8037718854424383,300
penalty_sac,mission_narrow,300,-0.43446682872439474,3.4133858445101697,300
penalty_sac,mission_narrow,400,-0.5765243901498152,4.015240161444451,300
penalty_sac,mission_narrow,500,-0.40309295326572936,3.4120892402332594,300
penalty_sac,mission_narrow,600,-0.5590768769408557,4.222803264755658,300
penalty_sac,mission_narrow,700,-0.4366346816868304,3.6472068643670896,300
penalty_sac,mission_narrow,800,-0.2703033187523833,2.9723284926947953,300
penalty_sac,mission_narrow,900,-0.44265303550011725,3.788187155492359,300
penalty_sac,mission_narrow,1000,-0.44730186378022374,3.6408423302733546,300
penalty_sac,mission_narrow,1100,-0.5597138884946503,3.742652828843721,300
penalty_sac,mission_narrow,1200,-0.5078471771183327,4.004348139879321,300
penalty_sac,mission_narrow,1300,-0.62138100524171,4.175537072257363,300
penalty_sac,mission_narrow,1400,-0.7065362231200986,4.456988978427141,300
penalty_sac,mission_narrow,1500,-0.1297482654356783,2.3709942500902828,300
penalty_sac,mission_narrow,1600,-0.8437742164522909,4.826246755616483,300
penalty_sac,mission_narrow,1700,-0.28098729591947863,3.37950520673268,300
penalty_sac,mission_narrow,1800,-0.42927101976444515,3.6334037723697095,300
penalty_sac,mission_narrow,1900,-0.46356337795644414,3.7878416140176085,300
penalty_sac,mission_narrow,2000,-0.5016514487764749,3.7996960471682786,300
penalty_sac,mission_obstacle,100,-0.4166944854288433,3.1381462061546146,300
penalty_sac,mission_obstacle,200,-0.6112236539813894,4.014676011791381,300
penalty_sac,mission_obstacle,300,-0.43898771248246543,3.4204279427566266,300
penalty_sac,mission_obstacle,400,-0.35983887454144325,3.4482034487070776,300
penalty_sac,mission_obstacle,500,-0.4187107489501384,3.400040336918876,300
penalty_sac,mission_obstacle,600,-0.6087507056868409,4.229427513098374,300
penalty_sac,mission_obstacle,700,-0.5215556499313547,3.8177447198655363,300
penalty_sac,mission_obstacle,800,-0.3612364151321115,3.4421836903347955,300
penalty_sac,mission_obstacle,900,-0.4780687342964014,3.8583517039826924,300
penalty_sac,mission_obstacle,1000,-0.6726517177330927,4.180950292571259,300
penalty_sac,mission_obstacle,1100,-0.6620692218380688,4.128901551421905,300
penalty_sac,mission_obstacle,1200,-0.4162823177821718,3.393965376534049,300
penalty_sac,mission_obstacle,1300,-0.4678986722809742,3.6393054774963285,300
