method,scenario,seeds,wall_time_seconds_mean,wall_time_seconds_std
generator_sac,mission_energy_tight,3,48.21417757234303,0.2989726976025327
generator_sac,mission_narrow,3,69.26592323700122,0.5941813771217662
generator_sac,mission_obstacle,3,106.69147865330645,0.1964201717668686
generator_sac,mission_open,3,43.75480713466337,0.2103484220360429
penalty_sac,mission_energy_tight,3,13.704895516333636,0.4892053216412587
penalty_sac,mission_narrow,3,16.76206093968358,0.6084680264851247
penalty_sac,mission_obstacle,3,13.770057481674788,0.4891049104599643
penalty_sac,mission_open,3,14.954064899667477,1.2143125101721555
sac,mission_energy_tight,3,12.808889081662832,0.2809317811477655
sac,mission_narrow,3,15.815074638327738,0.20349644759224908
sac,mission_obstacle,3,13.401617025995316,0.03990676566767405
sac,mission_open,3,13.488514374320706,0.8792895454442083
shield_sac,mission_energy_tight,3,35.26742813264718,1.1608022420072737
shield_sac,mission_narrow,3,45.31747791799717,0.12326902367835237
shield_sac,mission_obstacle,3,48.71712629235117,2.287569716257993
shield_sac,mission_open,3,34.17695449731158,0.30452450068352827
