collision,energy_depleted,episode_length,episode_return,evaluation_episode,return_success,task_success,termination_reason
1,0,46,-10.76228895713546,0,0,0,COLLISION
1,0,46,-10.76228895713546,1,0,0,COLLISION
1,0,46,-10.76228895713546,2,0,0,COLLISION
1,0,46,-10.76228895713546,3,0,0,COLLISION
1,0,46,-10.76228895713546,4,0,0,COLLISION
1,0,46,-10.76228895713546,5,0,0,COLLISION
1,0,46,-10.76228895713546,6,0,0,COLLISION
1,0,46,-10.76228895713546,7,0,0,COLLISION
1,0,46,-10.76228895713546,8,0,0,COLLISION
1,0,46,-10.76228895713546,9,0,0,COLLISION
1,0,46,-10.76228895713546,10,0,0,COLLISION
1,0,46,-10.76228895713546,11,0,0,COLLISION
1,0,46,-10.76228895713546,12,0,0,COLLISION
1,0,46,-10.76228895713546,13,0,0,COLLISION
1,0,46,-10.76228895713546,14,0,0,COLLISION
1,0,46,-10.76228895713546,15,0,0,COLLISION
1,0,46,-10.76228895713546,16,0,0,COLLISION
1,0,46,-10.76228895713546,17,0,0,COLLISION
1,0,46,-10.76228895713546,18,0,0,COLLISION
1,0,46,-10.76228895713546,19,0,0,COLLISION
