collision,energy_depleted,episode_id,episode_length,episode_return,fraction_steps_progressing_to_task,mean_cos_center_goal,mean_cos_exec_goal,minimum_distance_to_task,outbound_acceptance_rate,outbound_fallback_rate,outbound_path_length,return_acceptance_rate,return_fallback_rate,return_path_length,return_success,task_success,terminal_energy,termination_reason,timeout,total_path_length
0,0,0,49,8.087241234807848,0.9591836734693877,0.0,0.10719903634281891,1.9740801078320551,1.0,0.0,1.2791488993027627,0.0,1.0,0.0,0,0,29.402423659130502,VELOCITY_LIMIT,0,1.2791488993027627
1,0,1,37,-17.143100160739667,0.0,0.0,-0.062317255486136834,2.833793005695887,1.0,0.0,0.9859266084670909,0.0,1.0,0.0,0,0,29.548125340881647,COLLISION,0,0.9859266084670909
1,0,2,44,-11.307908556936278,0.36363636363636365,0.0,-0.005736292028266691,2.733211679075044,1.0,0.0,1.0027824010792843,0.0,1.0,0.0,0,0,29.463869132390865,COLLISION,0,1.0027824010792843
1,0,3,43,-8.538288686641943,0.6511627906976745,0.0,0.11405999683113109,2.642704977319325,1.0,0.0,1.259118568444494,0.0,1.0,0.0,0,0,29.47430100142114,COLLISION,0,1.259118568444494
1,0,4,84,-8.253770899296175,0.5238095238095238,0.0,0.09712948492792473,2.5727500540764807,1.0,0.0,2.5264466410508737,0.0,1.0,0.0,0,0,28.971156493153593,COLLISION,0,2.5264466410508737
1,0,5,25,-13.621276373844623,0.0,0.0,-0.1445312222554321,2.833616487955407,1.0,0.0,0.5972282494516619,0.0,1.0,0.0,0,0,29.695028617599856,COLLISION,0,0.5972282494516619
1,0,6,123,-3.3490052851050667,0.6260162601626016,0.0,-0.013665631408035693,1.5413758119795609,1.0,0.0,3.304287093648697,0.0,1.0,0.0,0,0,28.496881461780443,COLLISION,0,3.304287093648697
1,0,7,28,-15.11766875861754,0.0,0.0,-0.1742594820542481,2.833535995626424,1.0,0.0,0.549126658156319,0.0,1.0,0.0,0,0,29.659663827635466,COLLISION,0,0.549126658156319
1,0,8,36,-13.716143276625628,0.19444444444444445,0.0,-0.0031502600437032235,2.8005551268990514,1.0,0.0,0.8968106746398686,0.0,1.0,0.0,0,0,29.55962830599289,COLLISION,0,0.8968106746398686
1,0,9,46,-9.886442490605594,0.5434782608695652,0.0,0.05640682106389184,2.7711997806576396,1.0,0.0,1.0757107732390534,0.0,1.0,0.0,0,0,29.4383735811603,COLLISION,0,1.0757107732390534
0,0,10,84,0.3419542340802788,0.5595238095238095,0.0,0.0035237997599442813,2.713180150497063,1.0,0.0,2.2516353935672284,0.0,1.0,0.0,0,0,28.97376625138147,VELOCITY_LIMIT,0,2.2516353935672284
0,0,11,28,-2.7977859522771187,0.21428571428571427,0.0,-0.10534407618736095,2.8339041041006485,1.0,0.0,0.9338684496468136,0.0,1.0,0.0,0,0,29.655794440740937,VELOCITY_LIMIT,0,0.9338684496468136
1,0,12,50,-13.419184745682902,0.14,0.0,0.054885350509770114,2.8337674082297206,1.0,0.0,1.2954118704483575,0.0,1.0,0.0,0,0,29.389180881053385,COLLISION,0,1.2954118704483575
1,0,13,25,-14.816916429827758,0.0,0.0,-0.24107372954964157,2.8339645955962425,1.0,0.0,0.5971028889403747,0.0,1.0,0.0,0,0,29.694863837462435,COLLISION,0,0.5971028889403747
1,0,14,69,-4.027981214983131,0.9420289855072463,0.0,0.023288226614130925,2.165360151533667,1.0,0.0,1.4869255369125194,0.0,1.0,0.0,0,0,29.160222381644232,COLLISION,0,1.4869255369125194
1,0,15,36,-13.71738782617434,0.1388888888888889,0.0,-0.06382399382268272,2.8194721064579307,1.0,0.0,0.7124141521843557,0.0,1.0,0.0,0,0,29.561480324960257,COLLISION,0,0.7124141521843557
