collision,energy_depleted,episode_id,episode_length,episode_return,fraction_steps_progressing_to_task,mean_cos_center_goal,mean_cos_exec_goal,minimum_distance_to_task,outbound_acceptance_rate,outbound_fallback_rate,outbound_path_length,return_acceptance_rate,return_fallback_rate,return_path_length,return_success,task_success,terminal_energy,termination_reason,timeout,total_path_length
1,0,0,21,-35.11391273312267,0.0,0.0,-0.10235431967221024,2.8331237317925257,1.0,0.0,0.5425494897519662,0.0,1.0,0.0,0,0,29.74368505092123,COLLISION,0,0.5425494897519662
1,0,1,39,-35.15647833362996,0.3076923076923077,0.0,-0.18216076346615923,2.7942710627213914,1.0,0.0,0.9486993808997868,0.0,1.0,0.0,0,0,29.524452648824045,COLLISION,0,0.9486993808997868
1,0,2,42,-35.72325934688858,0.0,0.0,-0.08065786606923678,2.8347338938335946,1.0,0.0,0.9352565997901596,0.0,1.0,0.0,0,0,29.488408416818643,COLLISION,0,0.9352565997901596
1,0,3,27,-35.68954264008557,0.0,0.0,-0.11988978450193309,2.835179751280819,1.0,0.0,0.6015833729338932,0.0,1.0,0.0,0,0,29.670672435995705,COLLISION,0,0.6015833729338932
1,0,4,34,-33.66464647782725,0.17647058823529413,0.0,-0.0858503464808481,2.8131728054381115,1.0,0.0,0.7308178748568833,0.0,1.0,0.0,0,0,29.58596333026207,COLLISION,0,0.7308178748568833
1,0,5,48,-35.001170827271544,0.08333333333333333,0.0,-0.02501007836450475,2.834502596033672,1.0,0.0,0.7035056159961776,0.0,1.0,0.0,0,0,29.417670385229016,COLLISION,0,0.7035056159961776
0,0,6,66,-16.41868413018944,0.7878787878787878,0.0,0.03527112512876378,2.4035908383483844,1.0,0.0,1.3203045499600872,0.0,1.0,0.0,0,0,29.19638696625953,VELOCITY_LIMIT,0,1.3203045499600872
1,0,7,27,-36.226671371691154,0.0,0.0,-0.18893403364152914,2.833565267584334,1.0,0.0,0.6545724044767177,0.0,1.0,0.0,0,0,29.670459636811355,COLLISION,0,0.6545724044767177
0,0,8,43,-22.200028219993168,0.23255813953488372,0.0,-0.026271656523447404,2.8038174832395497,1.0,0.0,0.6671456788857613,0.0,1.0,0.0,0,0,29.478366155829246,VELOCITY_LIMIT,0,0.6671456788857613
0,0,9,94,-12.922801410738316,0.648936170212766,0.0,-0.04248724513717668,1.4847865996478904,1.0,0.0,2.6949854276097716,0.0,1.0,0.0,0,0,28.850592634782704,VELOCITY_LIMIT,0,2.6949854276097716
1,0,10,61,-36.70925952402982,0.3114754098360656,0.0,-0.14776985879427007,2.770365882819741,1.0,0.0,1.1713849711054751,0.0,1.0,0.0,0,0,29.25737542655389,COLLISION,0,1.1713849711054751
1,0,11,56,-33.46054827318246,0.3392857142857143,0.0,-0.033106586353370916,2.767068426779657,1.0,0.0,1.3066462436791002,0.0,1.0,0.0,0,0,29.31778931391641,COLLISION,0,1.3066462436791002
1,0,12,24,-34.80179194075493,0.08333333333333333,0.0,-0.1107974698752937,2.83620154560613,1.0,0.0,0.5478884045538818,0.0,1.0,0.0,0,0,29.707706994709177,COLLISION,0,0.5478884045538818
1,0,13,36,-37.69663974204069,0.0,0.0,-0.11482681498065087,2.83554085569957,1.0,0.0,0.8817556844541046,0.0,1.0,0.0,0,0,29.560735419788724,COLLISION,0,0.8817556844541046
1,0,14,47,-33.911388074758165,0.3191489361702128,0.0,-0.07914259898037503,2.7812990430638678,1.0,0.0,1.040480960766724,0.0,1.0,0.0,0,0,29.427103324076473,COLLISION,0,1.040480960766724
1,0,15,73,-34.038469227928715,0.3561643835616438,0.0,-0.037350235126140545,2.6368730148062,1.0,0.0,1.6868143341395925,0.0,1.0,0.0,0,0,29.10960490484276,COLLISION,0,1.6868143341395925
1,0,16,47,-36.80146649871426,0.2127659574468085,0.0,-0.0387833204217056,2.776741852159479,1.0,0.0,1.0735928284961587,0.0,1.0,0.0,0,0,29.4272206071972,COLLISION,0,1.0735928284961587
1,0,17,35,-34.272232134215,0.11428571428571428,0.0,-0.029667058394360943,2.822077588196182,1.0,0.0,0.6051124746480807,0.0,1.0,0.0,0,0,29.574820294270527,COLLISION,0,0.6051124746480807
0,0,18,106,-23.695808268630305,0.41509433962264153,0.0,-0.011737745285523718,2.477752198533257,1.0,0.0,2.9221642460839043,0.0,1.0,0.0,0,0,28.70559630370172,VELOCITY_LIMIT,0,2.9221642460839043
0,0,19,88,-16.921713858770058,0.3409090909090909,0.0,0.03697026642447846,2.435501057376656,1.0,0.0,1.747567233916413,0.0,1.0,0.0,0,0,28.92786384593989,VELOCITY_LIMIT,0,1.747567233916413
0,0,20,81,-23.37456861209098,0.345679012345679,0.0,0.025943683260206102,2.642100389780455,1.0,0.0,2.2761847823222032,0.0,1.0,0.0,0,0,29.00987124388591,VELOCITY_LIMIT,0,2.2761847823222032
1,0,21,21,-34.88476962182509,0.09523809523809523,0.0,-0.257233167362521,2.827628259772811,1.0,0.0,0.49114571041474103,0.0,1.0,0.0,0,0,29.744437927590766,COLLISION,0,0.49114571041474103
