collision,energy_depleted,episode_length,episode_return,evaluation_episode,mean_center_norm,mean_residual_norm,mean_residual_to_center_ratio,metric_source,minimum_distance_to_task,mission_completion_steps,outbound_fallback_rate,outbound_intervention_rate,outbound_path_length,return_fallback_rate,return_handoff_rate,return_path_length,return_success,task_success,terminal_energy,termination_reason,total_energy_consumed,total_path_length
0,0,451,109.56479828278667,0,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,0.00046913419273531535,451,0.0,0.0,3.3731342222258727,1.0,1.0,6.690323549572512,1,1,24.53237422738248,TASK_AND_RETURN_SUCCESS,5.46762577261752,10.063457771798397
0,0,451,109.56479828278667,1,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,0.0007763664211041459,451,0.0,0.0,3.3763109529291055,1.0,1.0,6.685602773004814,1,1,24.532340237673857,TASK_AND_RETURN_SUCCESS,5.467659762326143,10.06191372593393
0,0,451,109.56479828278667,2,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,0.0007340003093719891,450,0.0,0.0,3.3831819920066364,1.0,1.0,6.685983696933985,1,1,24.544338152627823,TASK_AND_RETURN_SUCCESS,5.455661847372177,10.069165688940636
0,0,451,109.56479828278667,3,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,0.0011718823885380253,451,0.0,0.0,3.37282245265093,1.0,1.0,6.688594352301181,1,1,24.532357675038,TASK_AND_RETURN_SUCCESS,5.467642324962,10.061416804952124
0,0,451,109.56479828278667,4,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,0.0006810674269098256,451,0.0,0.0,3.371415030589418,1.0,1.0,6.686734048775651,1,1,24.532405874451953,TASK_AND_RETURN_SUCCESS,5.467594125548047,10.058149079365077
0,0,451,109.56479828278667,5,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,0.001340621365860406,451,0.0,0.0,3.375553004994456,1.0,1.0,6.687421327635792,1,1,24.53237615686886,TASK_AND_RETURN_SUCCESS,5.46762384313114,10.062974332630262
0,0,451,109.56479828278667,6,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,0.0013645452638560073,451,0.0,0.0,3.377122285149492,1.0,1.0,6.689252216497606,1,1,24.532372855718283,TASK_AND_RETURN_SUCCESS,5.4676271442817175,10.066374501647111
0,0,451,109.56479828278667,7,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,0.0016327443614779034,451,0.0,0.0,3.3757301502092827,1.0,1.0,6.687227437645581,1,1,24.532371407552635,TASK_AND_RETURN_SUCCESS,5.467628592447365,10.062957587854882
0,0,451,109.56479828278667,8,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,0.0012073879868426602,451,0.0,0.0,3.3798973547095326,1.0,1.0,6.687567064235442,1,1,24.53234079356961,TASK_AND_RETURN_SUCCESS,5.46765920643039,10.067464418944983
0,0,451,109.56479828278667,9,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,0.001483197303847428,451,0.0,0.0,3.3737953836330874,1.0,1.0,6.6865986796814765,1,1,24.532389810503393,TASK_AND_RETURN_SUCCESS,5.467610189496607,10.060394063314572
0,0,451,109.56479828278667,10,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,0.0011793605557476774,451,0.0,0.0,3.378843755965846,1.0,1.0,6.687930595759824,1,1,24.53231610497495,TASK_AND_RETURN_SUCCESS,5.467683895025051,10.06677435172568
0,0,451,109.56479828278667,11,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,0.0007857182229348333,451,0.0,0.0,3.3743651126800476,1.0,1.0,6.688752743970208,1,1,24.53234117086667,TASK_AND_RETURN_SUCCESS,5.467658829133331,10.063117856650273
0,0,451,109.56479828278667,12,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,0.0008963458957343926,450,0.0,0.0,3.3774201301476636,1.0,1.0,6.687637529051936,1,1,24.544345862302286,TASK_AND_RETURN_SUCCESS,5.455654137697714,10.06505765919961
0,0,451,109.56479828278667,13,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,0.0004914035827937877,450,0.0,0.0,3.3701752989911267,1.0,1.0,6.685907416875479,1,1,24.54444062371014,TASK_AND_RETURN_SUCCESS,5.455559376289859,10.05608271586662
0,0,451,109.56479828278667,14,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,0.00060590693673685,451,0.0,0.0,3.3696605241774473,1.0,1.0,6.686719261704579,1,1,24.532413365309537,TASK_AND_RETURN_SUCCESS,5.467586634690463,10.05637978588204
0,0,451,109.56479828278667,15,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,0.0005661451123192492,451,0.0,0.0,3.379176948281906,1.0,1.0,6.685164801988566,1,1,24.53234045756733,TASK_AND_RETURN_SUCCESS,5.467659542432671,10.064341750270486
0,0,451,109.56479828278667,16,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,0.0010703903810015357,450,0.0,0.0,3.3757988519068762,1.0,1.0,6.6872443579194725,1,1,24.544350362784563,TASK_AND_RETURN_SUCCESS,5.455649637215437,10.063043209826358
0,0,451,109.56479828278667,17,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,0.00042399815431756337,451,0.0,0.0,3.3820464048851298,1.0,1.0,6.686580676886272,1,1,24.53235921076601,TASK_AND_RETURN_SUCCESS,5.4676407892339896,10.068627081771407
