candidate_action,certificate_valid,condition_number,cos_candidate_goal,cos_center_goal,cos_exec_goal,cos_kappa_goal,distance_to_station,distance_to_task,energy_margin,environment_step,episode_id,episode_step,executed_action,fallback_reason,generator_available,kappa_action,minimum_distance_to_task_so_far,mission_phase,position,recovery_energy_required,sigma_min,velocity,zonotope_G,zonotope_center,zonotope_volume
"[0.04297543528844373, -0.009019484164516348, 0.0020593296508816094]",1,1.7182828187942505,-0.4866424294021677,-0.5316491689124603,-0.4866424294021677,0.16865449714428993,2.535027552000454,2.721765134366139,27.334362157958974,12,0,12,"[0.04297543528844373, -0.009019484164516348, 0.0020593296508816094]",,1,"[-0.07856253534555435, -0.010472613386809826, 0.0006948028458282351]",2.721765134366139,OUTBOUND,"[2.934649268276679, 0.5437899629777185, 0.9995359220763462]",2.5320089846184763,0.004000000189989805,"[-0.13588193480313454, 0.011947987158512662, 0.0002539173118617838]","[[0.006873131729662418, 0.0, 0.0], [0.0, 0.006873131729662418, 0.0], [0.0, 0.0, 0.004000000189989805]]","[0.039582666009664536, -0.010472613386809826, 0.0006948028458282351]",1.5116781924007228e-06
"[0.051651605484105335, -0.011400122351893246, 0.002728524105894892]",1,1.7126214504241943,-0.4872295708567197,-0.4612755337071257,-0.4872295708567197,0.1607531348627825,2.5089267809272435,2.7122683565354,27.322295541818598,13,0,13,"[0.051651605484105335, -0.011400122351893246, 0.002728524105894892]",,1,"[-0.07983379811048508, -0.010517144575715065, 0.00010859368921956047]",2.7122683565354,OUTBOUND,"[2.908505913425734, 0.5459515579623831, 0.9996412760208364]",2.531915281424411,0.004000000189989805,"[-0.12555161370631346, 0.009667962688134012, 0.0007996221330407623]","[[0.006850486155599356, 0.0, 0.0], [0.0, 0.006850486155599356, 0.0], [0.0, 0.0, 0.004000000189989805]]","[0.05558544024825096, -0.010517144575715065, 0.00010859368921956047]",1.501733208897349e-06
"[0.07343673657153066, -0.015294309290936024, 0.0028697845826999788]",1,1.7064998149871826,-0.46918953400870267,-0.41097067182749747,-0.46918953400870267,0.16276570418112296,2.485319802784414,2.7041855118115485,27.323992263738216,14,0,14,"[0.07343673657153066, -0.015294309290936024, 0.0028697845826999788]",,1,"[-0.07871891558170319, -0.009486705996096134, -0.0007607470033690333]",2.7041855118115485,OUTBOUND,"[2.884864325415902, 0.5475792643141912, 0.9998585961390986]",2.5180676703695366,0.004000000189989805,"[-0.11086426639200733, 0.006609100829946807, 0.001373579049580758]","[[0.0068259998224675655, 0.0, 0.0], [0.0, 0.0068259998224675655, 0.0], [0.0, 0.0, 0.004000000189989805]]","[0.06726634502410889, -0.009486705996096134, -0.0007607470033690333]",1.491016860200034e-06
"[0.07628230768975522, -0.0023886791560574156, -0.0007477736483222986]",1,1.6999258995056152,-0.30172410532150973,-0.3633918889232678,-0.30172410532150973,0.18967377619169803,2.4647013340511905,2.697419174748294,27.311931382764747,15,0,15,"[0.07628230768975522, -0.0023886791560574156, -0.0007477736483222986]",,1,"[-0.08081905543804169, -0.0068320054560899734, -0.0017816068138927221]",2.697419174748294,OUTBOUND,"[2.8642171182912954, 0.5488533108970595, 1.0001183564760483]",2.51798689703864,0.004000000189989805,"[-0.09560780485405629, 0.006131364998735324, 0.0012240243199162983]","[[0.0067997039295732975, 0.0, 0.0], [0.0, 0.0067997039295732975, 0.0], [0.0, 0.0, 0.004000000189989805]]","[0.07034564763307571, -0.0068320054560899734, -0.0017816068138927221]",1.4795512015552958e-06
"[0.06757522120013901, -0.0013612558169589055, 0.0020124476246803804]",1,1.6929081678390503,-0.2840210818304166,-0.36556470868882457,-0.2840210818304166,0.17710488074807063,2.44695905713144,2.6916103747822424,27.299862032320707,16,0,16,"[0.06757522120013901, -0.0013612558169589055, 0.0020124476246803804]",,1,"[-0.0825170949101448, -0.007437221705913544, -0.0018319905502721667]",2.6916103747822424,OUTBOUND,"[2.846447061744487, 0.5500523587804674, 1.000403410292525]",2.517931575280991,0.004000000189989805,"[-0.08209276061402848, 0.005859113835343543, 0.0016265138448523745]","[[0.006771632935851812, 0.0, 0.0], [0.0, 0.006771632935851812, 0.0], [0.0, 0.0, 0.004000000189989805]]","[0.06963381171226501, -0.007437221705913544, -0.0018319905502721667]",1.4673604482595692e-06
"[0.07486714069972208, -0.002419658815639535, -0.0013089114946220643]",1,1.6854554414749146,-0.2897679113731973,-0.3722019739819863,-0.2897679113731973,0.16002152580531015,2.4320644370438966,2.6867015584246223,27.28779518955359,17,0,17,"[0.07486714069972208, -0.002419658815639535, -0.0013089114946220643]",,1,"[-0.08151185512542725, -0.008255118504166603, -0.0026805296074599028]",2.6867015584246223,OUTBOUND,"[2.831525852435676, 0.5511757883712234, 1.000702534831603]",2.5178908825404496,0.004000000189989805,"[-0.06711933247408407, 0.005375182072215635, 0.0013647315459279616]","[[0.0067418222315609455, 0.0, 0.0], [0.0, 0.0067418222315609455, 0.0], [0.0, 0.0, 0.004000000189989805]]","[0.06848280131816864, -0.008255118504166603, -0.0026805296074599028]",1.4544693840434775e-06
"[0.056830222713219025, -0.008730931692518202, -0.00030910813797525557]",1,1.6775776147842407,-0.39760107907129344,-0.3843979818794712,-0.39760107907129344,0.15156251900332482,2.4197992123406973,2.682739135483937,27.26196910791775,18,0,18,"[0.056830222713219025, -0.008730931692518202, -0.00030910813797525557]",,1,"[-0.08315803110599518, -0.008701043203473091, -0.0026131588965654373]",2.682739135483937,OUTBOUND,"[2.8192385903951234, 0.5520762061518162, 1.000969298978029]",2.5316217731312416,0.004000000189989805,"[-0.055753287931440264, 0.003628995733711995, 0.0013029099183329105]","[[0.006710310932248831, 0.0, 0.0], [0.0, 0.006710310932248831, 0.0], [0.0, 0.0, 0.004000000189989805]]","[0.06244121119379997, -0.008701043203473091, -0.0026131588965654373]",1.4409048390007229e-06
"[0.05308237475174132, -0.004647748376197733, -0.001172543303037699]",1,1.669284701347351,-0.33288762312139875,-0.36418424106752,-0.33288762312139875,0.1630789403242038,2.4097264159523775,2.67962682139149,27.24992051085018,19,0,19,"[0.05308237475174132, -0.004647748376197733, -0.001172543303037699]",,1,"[-0.08090665936470032, -0.007156800013035536, -0.0027933728415519]",2.67962682139149,OUTBOUND,"[2.8091495803038704, 0.5527090503310347, 1.0012064300956347]",2.5315932049537886,0.004000000189989805,"[-0.045136812981092, 0.0026994460584724485, 0.0010684012577253706]","[[0.006677139084786177, 0.0, 0.0], [0.0, 0.006677139084786177, 0.0], [0.0, 0.0, 0.004000000189989805]]","[0.05881601199507713, -0.007156800013035536, -0.0027933728415519]",1.4266939842855209e-06
"[0.05803965561103401, -0.011993093546575805, -0.005020173263657569]",1,1.6605874300003052,-0.4354420890789647,-0.35930796079907723,-0.4354420890789647,0.1656818269258898,2.4018683981421676,2.6774116516635873,27.23788599005744,20,0,20,"[0.05803965561103401, -0.011993093546575805, -0.005020173263657569]",,1,"[-0.0789431482553482, -0.006488274782896042, -0.002702191937714815]",2.6774116516635873,OUTBOUND,"[2.8012830108198727, 0.5530090776717976, 1.0013197068819066]",2.5315641998380154,0.004000000189989805,"[-0.033528881858885196, 0.0003008273491572873, 6.436660499385682e-05]","[[0.006642349995672703, 0.0, 0.0], [0.0, 0.006642349995672703, 0.0], [0.0, 0.0, 0.004000000189989805]]","[0.05404195934534073, -0.006488274782896042, -0.002702191937714815]",1.4118661511020036e-06
"[0.04294444188291685, -0.008874948272305635, 0.0023507930193963486]",1,1.6514968872070312,-0.4339261162280764,-0.315071262600317,-0.4339261162280764,-0.315071262600317,2.396020379844374,2.6761092998970852,27.19830304362172,21,0,21,"[0.04294444188291685, -0.008874948272305635, 0.0023507930193963486]",,1,"[0.04565742239356041, -0.0034302358981221914, -0.001409820164553821]",2.6761092998970852,OUTBOUND,"[2.795436123285754, 0.5528917441761829, 1.0013795960632934]",2.5590947039753824,0.004000000189989805,"[-0.024939993482301824, -0.0014741623053038397, 0.0005345252088731266]","[[0.006605987902730703, 0.0, 0.0], [0.0, 0.006605987902730703, 0.0], [0.0, 0.0, 0.004000000189989805]]","[0.04565742239356041, -0.0034302358981221914, -0.001409820164553821]",1.3964505569674657e-06
"[0.03646579878350232, 0.08312387475644772, -0.0031397709647772924]",1,1.6420248746871948,0.7913743262852243,0.7666188783318193,0.7913743262852243,0.23097142364504544,2.3917933983774935,2.673757628456711,27.200055752957855,22,0,22,"[0.03646579878350232, 0.08312387475644772, -0.0031397709647772924]",,1,"[-0.07930698245763779, -0.0008279169560410082, -0.0021279314532876015]",2.673757628456711,OUTBOUND,"[2.7911774405649634, 0.5542593892102511, 1.0014237056857724]",2.545306172047412,0.004000000189989805,"[-0.01764683372560136, 0.015150612645985707, -9.34289840823319e-05]","[[0.0065680998377501965, 0.0, 0.0], [0.0, 0.0065680998377501965, 0.0], [0.0, 0.0, 0.004000000189989805]]","[0.03947986662387848, 0.08103787899017334, -0.0021279314532876015]",1.3804780110149295e-06
"[0.03952896476516288, 0.08599077591428293, 0.0009485206410055657]",1,1.6321836709976196,0.7818821584092861,0.8034713016806672,0.7818821584092861,-0.07165813795092438,2.3891679154354732,2.6684899489743787,27.187841692243374,23,0,23,"[0.03952896476516288, 0.08599077591428293, 0.0009485206410055657]",,1,"[-0.07845839112997055, -0.025470247492194176, -0.0012929050717502832]",2.6684899489743787,OUTBOUND,"[2.788438653115146, 0.5590093272577339, 1.001423990301776]",2.5454850348896985,0.004000000189989805,"[-0.009741040772568784, 0.032348767828842294, 9.627514411878125e-05]","[[0.006528735160827637, 0.0, 0.0], [0.0, 0.006528735160827637, 0.0], [0.0, 0.0, 0.004000000189989805]]","[0.033528126776218414, 0.08033118396997452, -0.0012929050717502832]",1.3639803455589572e-06
"[0.018867149488386505, 0.07897672466433857, 0.000816866820729533]",1,1.621985912322998,0.8887412681576852,0.8514974878990245,0.8887412681576852,-0.9811034360248232,2.387810048019943,2.660298649854865,27.148064478584608,24,0,24,"[0.018867149488386505, 0.07897672466433857, 0.000816866820729533]",,1,"[0.02519880421459675, -0.05429760366678238, -0.0015587755478918552]",2.660298649854865,OUTBOUND,"[2.7868677879504, 0.5670586153167891, 1.0014595826670145]",2.57322039982082,0.004000000189989805,"[-0.005967610874891484, 0.04814411276171, 0.00025964850826468784]","[[0.006487944163382053, 0.0, 0.0], [0.0, 0.006487944163382053, 0.0], [0.0, 0.0, 0.004000000189989805]]","[0.02519880421459675, 0.07863947004079819, -0.0015587755478918552]",1.3469895066009485e-06
"[0.026406627062373397, 0.07526928694315733, 0.0019730637629579452]",1,1.6114448308944702,0.8366542988110066,0.8735577362915358,0.8366542988110066,-0.999608284318728,2.3874836981464944,2.6493297359303063,26.998505868465156,25,0,25,"[0.026406627062373397, 0.07526928694315733, 0.0019730637629579452]",,1,"[0.02148686721920967, -0.0811876654624939, -0.0018230905989184976]",2.6493297359303063,OUTBOUND,"[2.7862023983166693, 0.5781928236079943, 1.0015509736439268]",2.7107302298968854,0.004000000189989805,"[-0.0006862854624168045, 0.06319797015034147, 0.0006542612608562768]","[[0.006445779465138912, 0.0, 0.0], [0.0, 0.006445779465138912, 0.0], [0.0, 0.0, 0.004000000189989805]]","[0.02148686721920967, 0.07881233096122742, -0.0018230905989184976]",1.329538349637005e-06
"[0.009208308763902169, 0.07642900192200848, 0.00046481935187802845]",1,1.6005736589431763,0.9350240093822317,0.9107923125666818,0.9350240093822317,-0.9977362087917581,2.388036677032159,2.635589745629469,26.944957508936753,26,0,26,"[0.009208308763902169, 0.07642900192200848, 0.00046481935187802845]",,1,"[0.014758401550352573, -0.07986164093017578, -0.002466939389705658]",2.635589745629469,OUTBOUND,"[2.786249307399464, 0.5923609976765027, 1.0016911222831355]",2.752217851384652,0.004000000189989805,"[0.0011553762903636295, 0.07848377053474316, 0.0007472251312318826]","[[0.006402295082807541, 0.0, 0.0], [0.0, 0.006402295082807541, 0.0], [0.0, 0.0, 0.004000000189989805]]","[0.014758401550352573, 0.08013836294412613, -0.002466939389705658]",1.3116602985974168e-06
"[0.012444782939207867, 0.08743562494713558, -0.0019919686725193763]",1,1.5893869400024414,0.9265032520866574,0.923674775273738,0.9265032520866574,-0.995266802594821,2.389254559520949,2.618780367917064,26.905019562995932,27,0,27,"[0.012444782939207867, 0.08743562494713558, -0.0019919686725193763]",,1,"[0.012133166193962097, -0.07869429886341095, -0.002737237373366952]",2.618780367917064,OUTBOUND,"[2.7867292783163204, 0.609806464282394, 1.0018007279359316]",2.7800853324072565,0.004000000189989805,"[0.003644332878205203, 0.09597089552417028, 0.0003488313967280073]","[[0.006357547827064991, 0.0, 0.0], [0.0, 0.006357547827064991, 0.0], [0.0, 0.0, 0.004000000189989805]]","[0.012133166193962097, 0.08130569756031036, -0.002737237373366952]",1.2933893458466628e-06
"[0.004632599233473898, 0.07703799967570372, -0.005478276204594552]",1,1.577898621559143,0.9513026299870381,0.9396102072263408,0.9513026299870381,-0.9891348665344297,2.3911175141620924,2.5988739368323666,26.837576598187052,28,0,28,"[0.004632599233473898, 0.07703799967570372, -0.005478276204594552]",,1,"[0.008168655447661877, -0.08068610727787018, -0.0022890919353812933]",2.5988739368323666,OUTBOUND,"[2.787550796876631, 0.6305414033807422, 1.0017609286911853]",2.8354401070151094,0.004000000189989805,"[0.004570852724899982, 0.11137849545931103, -0.0007468238441909032]","[[0.006311594974249601, 0.0, 0.0], [0.0, 0.006311594974249601, 0.0], [0.0, 0.0, 0.004000000189989805]]","[0.008168655447661877, 0.07931389659643173, -0.0022890919353812933]",1.2747594837492215e-06
"[0.0006884429063664542, 0.08364164260916727, 0.0013786736909877412]",1,1.5661238431930542,0.9672479084424978,0.948194033057999,0.9672479084424978,-0.9851593088556666,2.3934703884837423,2.5758936830444026,26.78375165135087,29,0,29,"[0.0006884429063664542, 0.08364164260916727, 0.0013786736909877412]",,1,"[0.0060500092804431915, -0.07985604554414749, -0.0007153752958402038]",2.5758936830444026,OUTBOUND,"[2.788478736279738, 0.6544899353247877, 1.0016391373961668]",2.877159103465614,0.004000000189989805,"[0.0047085413061732735, 0.12810682398114448, -0.000471089105993355]","[[0.00626449566334486, 0.0, 0.0], [0.0, 0.00626449566334486, 0.0], [0.0, 0.0, 0.004000000189989805]]","[0.0060500092804431915, 0.08014395087957382, -0.0007153752958402038]",1.2558050457300851e-06
"[0.0102772964557384, 0.07514608210169804, 0.002756521082980889]",1,1.5540776252746582,0.9256377419681147,0.9514396623387555,0.9256377419681147,-0.9819974844812263,2.396518028314566,2.549912217714026,26.729848426795538,30,0,30,"[0.0102772964557384, 0.07514608210169804, 0.002756521082980889]",,1,"[0.004929305985569954, -0.08088860660791397, -0.0009796126978471875]",2.549912217714026,OUTBOUND,"[2.7896259904700873, 0.6816142217630505, 1.0016000499966278]",2.918938633549845,0.004000000189989805,"[0.006764000597320954, 0.1431360404014841, 8.021511060282282e-05]","[[0.0062163108959794044, 0.0, 0.0], [0.0, 0.0062163108959794044, 0.0], [0.0, 0.0, 0.004000000189989805]]","[0.004929305985569954, 0.07911139726638794, -0.0009796126978471875]",1.2365607062747586e-06
"[-0.0008207067440418527, 0.0861415412520288, -0.00334293855156671]",1,1.5417754650115967,0.9696681073155093,0.9649429846625032,0.9696681073155093,-0.9705794469065971,2.400340045399655,2.5208834630770647,26.689577293429704,31,0,31,"[-0.0008207067440418527, 0.0861415412520288, -0.00334293855156671]",,1,"[0.0009044086909852922, -0.0795181542634964, -0.001712351106107235]",2.5208834630770647,OUTBOUND,"[2.790962376454671, 0.7119642606683879, 1.001549234247717]",2.9470707203064,0.004000000189989805,"[0.006599859248512583, 0.16036434865188984, -0.0005883725997105192]","[[0.006167102139443159, 0.0, 0.0], [0.0, 0.006167102139443159, 0.0], [0.0, 0.0, 0.004000000189989805]]","[0.0009044086909852922, 0.08048184216022491, -0.001712351106107235]",1.2170607988082338e-06
"[-0.004033878703571468, 0.08024472512179169, 0.0023724492621811223]",1,1.5292333364486694,0.9782367480368797,0.9677496393654011,0.9782367480368797,-0.9664557583575051,2.404780868459574,2.488646709715294,26.63552477003809,32,0,32,"[-0.004033878703571468, 0.08024472512179169, 0.0023724492621811223]",,1,"[-0.00020217940618749708, -0.08125219494104385, -0.0007255126256495714]",2.488646709715294,OUTBOUND,"[2.792201670730302, 0.7456420249012017, 1.0014790087130185]",2.988965831227978,0.004000000189989805,"[0.00579308350779829, 0.17641329367624817, -0.00011388274727429468]","[[0.0061169336549937725, 0.0, 0.0], [0.0, 0.0061169336549937725, 0.0], [0.0, 0.0, 0.004000000189989805]]","[-0.00020217940618749708, 0.07874780893325806, -0.0007255126256495714]",1.1973401115028537e-06
"[0.0006563223523673851, 0.07534243138860329, -0.0048074324507138885]",1,1.5164673328399658,0.9619280247435413,0.9670216739534977,0.9619280247435413,-0.9649991035269545,2.4099804394448245,2.453428549791109,26.58140598366004,33,0,33,"[0.0006563223523673851, 0.07534243138860329, -0.0048074324507138885]",,1,"[-0.00031198764918372035, -0.08146284520626068, -0.0013195729115977883]",2.453428549791109,OUTBOUND,"[2.7933734138789093, 0.7824315322642234, 1.0013600835145493]",3.030910603908926,0.004000000189989805,"[0.0059243479782717665, 0.1914817799539688, -0.0010753692374170724]","[[0.006065869703888893, 0.0, 0.0], [0.0, 0.006065869703888893, 0.0], [0.0, 0.0, 0.004000000189989805]]","[-0.00031198764918372035, 0.07853715866804123, -0.0013195729115977883]",1.1774328640967724e-06
"[-0.006993957957996137, 0.0825792390612863, 0.0031743931552352354]",1,1.5034939050674438,0.9829499244021104,0.9702700620747255,0.9829499244021104,-0.9593447313841438,2.4160234849905184,2.4151798810502147,26.540863737319157,34,0,34,"[-0.006993957957996137, 0.0825792390612863, 0.0031743931552352354]",,1,"[-0.0016675010556355119, -0.08021259307861328, 0.00014543341239914298]",2.4151798810502147,OUTBOUND,"[2.7944184043154037, 0.8223794730362428, 1.0012084975301707]",3.0592648299657457,0.004000000189989805,"[0.0045255563866725395, 0.20799762776622607, -0.00044049060637002524]","[[0.006013975944370031, 0.0, 0.0], [0.0, 0.006013975944370031, 0.0], [0.0, 0.0, 0.004000000189989805]]","[-0.0016675010556355119, 0.07978740334510803, 0.00014543341239914298]",1.1573730489544687e-06
"[-0.001724877572148863, 0.03594601635485743, 0.0022198552185515477]",1,1.4903297424316406,0.9735460496824055,0.9684332846047679,0.9735460496824055,-0.9611892158089915,2.422894015173226,2.3746588966333255,26.363054912553096,35,0,35,"[-0.001724877572148863, 0.03594601635485743, 0.0022198552185515477]",,1,"[-0.0007541832746937871, -0.08094708621501923, -0.0005918106762692332]",2.3746588966333255,OUTBOUND,"[2.795289018041295, 0.8646979189165852, 1.0011647965132677]",3.2248682949116896,0.004000000189989805,"[0.004180580872242767, 0.21518683103719755, 3.4804373402843084e-06]","[[0.0059613194316625595, 0.0, 0.0], [0.0, 0.0059613194316625595, 0.0], [0.0, 0.0, 0.004000000189989805]]","[-0.0007541832746937871, 0.0406620167195797, -0.0005918106762692332]",1.1371945447535836e-06
