collision,energy_depleted,episode_length,episode_return,evaluation_episode,mean_center_norm,mean_residual_norm,mean_residual_to_center_ratio,metric_source,minimum_distance_to_task,mission_completion_steps,outbound_fallback_rate,outbound_intervention_rate,outbound_path_length,return_fallback_rate,return_handoff_rate,return_path_length,return_success,task_success,terminal_energy,termination_reason,total_energy_consumed,total_path_length
0,0,151,25.820531708212332,0,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,0.7859491719084778,151,0.33333333333333337,0.33333333333333337,0.015666333008944943,1.0,1.0,3.019081011185382,1,0,28.171848399984036,PREMATURE_TERMINAL,1.828151600015964,3.034747344194327
0,0,151,25.820531708212332,1,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,0.8013521404145153,150,0.5,0.5,0.005203669046684673,1.0,1.0,3.0132135357973553,1,0,28.184110543923612,PREMATURE_TERMINAL,1.8158894560763876,3.01841720484404
0,0,151,25.820531708212332,2,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,0.8022029041566551,150,0.5,0.5,0.009543131659137456,1.0,1.0,3.0189821391309826,1,0,28.183967295545457,PREMATURE_TERMINAL,1.8160327044545426,3.0285252707901194
0,0,151,25.820531708212332,3,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,0.7926830129998303,150,0.5,0.5,0.010306807411120961,1.0,1.0,3.000847267285472,1,0,28.18410056420396,PREMATURE_TERMINAL,1.815899435796041,3.011154074696593
0,0,151,25.820531708212332,4,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,0.7753117601040904,161,0.33333333333333337,0.33333333333333337,0.01680547013931414,1.0,1.0,3.0283737588782866,1,0,28.051924505653815,PREMATURE_TERMINAL,1.9480754943461847,3.0451792290176005
0,0,151,25.820531708212332,5,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,0.8011182307969891,152,0.25,0.25,0.013854625647706396,1.0,1.0,3.005258281125897,1,0,28.160033771384175,PREMATURE_TERMINAL,1.8399662286158254,3.0191129067736036
0,0,151,25.820531708212332,6,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,0.7714511995760065,162,0.25,0.25,0.029280593127032822,1.0,1.0,3.0314205647324184,1,0,28.0396718408046,PREMATURE_TERMINAL,1.9603281591953987,3.060701157859451
0,0,151,25.820531708212332,7,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,0.8000015999984,149,1.0,1.0,0.0015999999999998238,1.0,1.0,3.0071845043699943,1,0,28.19627904018902,PREMATURE_TERMINAL,1.8037209598109811,3.008784504369994
0,0,151,25.820531708212332,8,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,0.7848700609069041,154,0.19999999999999996,0.19999999999999996,0.02423221432630677,1.0,1.0,3.024256868718473,1,0,28.135729558661392,PREMATURE_TERMINAL,1.8642704413386078,3.0484890830447795
0,0,151,25.820531708212332,9,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,0.8015831108764895,150,0.5,0.5,0.007935269001276541,1.0,1.0,3.0172562448704823,1,0,28.184039745977625,PREMATURE_TERMINAL,1.8159602540223752,3.0251915138717593
0,0,151,25.820531708212332,10,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,0.7881688115130857,150,0.5,0.5,0.0077077556057372695,1.0,1.0,3.014375446027152,1,0,28.184032318349896,PREMATURE_TERMINAL,1.815967681650104,3.022083201632889
0,0,151,25.820531708212332,11,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,0.7858762943963779,151,0.5,0.5,0.012645329602262396,1.0,1.0,3.0012288978290673,1,0,28.172009612675385,PREMATURE_TERMINAL,1.8279903873246148,3.0138742274313293
0,0,151,25.820531708212332,12,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,0.7892237724467859,150,0.5,0.5,0.009120881562551067,1.0,1.0,3.004158718922657,1,0,28.184076184465447,PREMATURE_TERMINAL,1.8159238155345534,3.013279600485208
0,0,151,25.820531708212332,13,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,0.8000015999984,149,1.0,1.0,0.0015999999999998238,1.0,1.0,3.0071845043699943,1,0,28.19627904018902,PREMATURE_TERMINAL,1.8037209598109811,3.008784504369994
0,0,151,25.820531708212332,14,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,0.7968670376863665,151,0.33333333333333337,0.33333333333333337,0.0051121204253973575,1.0,1.0,3.0075213018012263,1,0,28.17218523609559,PREMATURE_TERMINAL,1.82781476390441,3.0126334222266236
0,0,151,25.820531708212332,15,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,0.7944852843366895,150,0.5,0.5,0.01120545226285017,1.0,1.0,2.998609424701302,1,0,28.184133251989948,PREMATURE_TERMINAL,1.8158667480100519,3.009814876964153
0,0,151,25.820531708212332,16,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,0.7944128719731626,151,0.33333333333333337,0.33333333333333337,0.011236677197884851,1.0,1.0,3.0184850541023933,1,0,28.171981901439032,PREMATURE_TERMINAL,1.8280180985609675,3.029721731300278
0,0,151,25.820531708212332,17,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,0.8000015999984,149,1.0,1.0,0.0015999999999998238,1.0,1.0,3.0071845043699943,1,0,28.19627904018902,PREMATURE_TERMINAL,1.8037209598109811,3.008784504369994
0,0,151,25.820531708212332,18,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,0.7984051473101337,151,0.33333333333333337,0.33333333333333337,0.01707250991474254,1.0,1.0,2.9931366899970078,1,0,28.172098067609078,PREMATURE_TERMINAL,1.8279019323909225,3.01020919991175
0,0,151,25.820531708212332,19,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,0.8023514312413317,151,0.33333333333333337,0.33333333333333337,0.013752513279218467,1.0,1.0,2.9960124538517228,1,0,28.172140706751,PREMATURE_TERMINAL,1.8278592932489985,3.009764967130941
