collision,energy_depleted,episode_id,episode_length,episode_return,outbound_path_length,return_path_length,return_success,task_success,terminal_energy,timeout,total_path_length
0,0,0,49,2.6134192076275156,1.2791488993027627,0.0,0,0,29.402423659130502,0,1.2791488993027627
1,0,1,37,-16.61833487364884,0.9859266084670909,0.0,0,0,29.548125340881647,0,0.9859266084670909
1,0,2,44,-11.815072104967236,1.0027824010792843,0.0,0,0,29.463869132390865,0,1.0027824010792843
1,0,3,43,-10.708138031649511,1.259118568444494,0.0,0,0,29.47430100142114,0,1.259118568444494
0,0,4,60,-1.185198045287466,1.1539399894351148,0.0,0,0,29.26979978580453,0,1.1539399894351148
0,0,5,16,2.225705093491623,0.4289492507770583,0.0,0,0,29.804286477804656,0,0.4289492507770583
1,0,6,33,-17.120281250414227,0.9675534820268319,0.0,0,0,29.596520689421418,0,0.9675534820268319
1,0,7,24,-11.834774861543995,0.9513449341311137,0.0,0,0,29.704790933452784,0,0.9513449341311137
1,0,8,78,-13.671608818757234,1.5396157596908782,0.0,0,0,29.05048639228603,0,1.5396157596908782
1,0,9,24,-14.813152288552164,0.4890406671723777,0.0,0,0,29.708091265266273,0,0.4890406671723777
0,0,10,49,-6.48629949566682,1.3426158154476935,0.0,0,0,29.40197570672622,0,1.3426158154476935
1,0,11,40,-15.34636294125725,0.5939433583083841,0.0,0,0,29.51439854446998,0,0.5939433583083841
1,0,12,86,-11.97416066397562,1.6269364317090034,0.0,0,0,28.954041335851738,0,1.6269364317090034
1,0,13,44,-12.388082588414832,1.0023830031234464,0.0,0,0,29.46339938113094,0,1.0023830031234464
1,0,14,58,-11.916576426162132,1.1626591404168611,0.0,0,0,29.293731589064752,0,1.1626591404168611
0,0,15,177,-15.959804131051111,3.6291358416057973,0.0,0,0,27.846662142638127,0,3.6291358416057973
1,0,16,60,-17.08505185567684,1.2834944624296072,0.0,0,0,29.268762702693746,0,1.2834944624296072
1,0,17,40,-14.664886232342976,0.8971472296264514,0.0,0,0,29.51309567658322,0,0.8971472296264514
0,0,18,35,-2.8710960976178925,0.629887659438579,0.0,0,0,29.574314240955843,0,0.629887659438579
1,0,19,53,-18.635695386342896,1.2268909183974819,0.0,0,0,29.353460196816624,0,1.2268909183974819
1,0,20,28,-12.044015552634857,0.9235621515126697,0.0,0,0,29.656597125520854,0,0.9235621515126697
1,0,21,29,-14.624070717367427,0.9112031213186017,0.0,0,0,29.645104705598204,0,0.9112031213186017
0,0,22,42,1.057674785778423,0.8359297776882401,0.0,0,0,29.488125780201184,0,0.8359297776882401
1,0,23,39,-15.647412251092256,0.6541903807005087,0.0,0,0,29.525788453788277,0,0.6541903807005087
1,0,24,26,-17.29722236127096,0.9856221985781038,0.0,0,0,29.680012927446388,0,0.9856221985781038
1,0,25,27,-15.425028498633779,0.6224703637446544,0.0,0,0,29.67099448745945,0,0.6224703637446544
0,0,26,31,2.923674021441788,1.0749324162494667,0.0,0,0,29.619431208512914,0,1.0749324162494667
1,0,27,38,-10.72454545934453,1.057245097876501,0.0,0,0,29.535737495666325,0,1.057245097876501
1,0,28,69,-28.635876014010968,2.439604158704018,0.0,0,0,29.153019657702863,0,2.439604158704018
1,0,29,20,-15.026761628824369,0.5000898824822496,0.0,0,0,29.756562918995236,0,0.5000898824822496
0,0,30,66,-4.708289152481147,1.852150049468314,0.0,0,0,29.191830664339363,0,1.852150049468314
1,0,31,32,-13.096584459270552,0.9666721257463258,0.0,0,0,29.608136871625053,0,0.9666721257463258
1,0,32,44,-11.09931554066673,1.1625823268673492,0.0,0,0,29.462252238168205,0,1.1625823268673492
1,0,33,37,-11.896445758308852,1.0506251730741212,0.0,0,0,29.546941105016103,0,1.0506251730741212
0,0,34,26,-6.312470168531794,0.8403607470248728,0.0,0,0,29.681377501225867,0,0.8403607470248728
0,0,35,95,-4.4082398776659915,2.764094658421036,0.0,0,0,28.838826842419767,0,2.764094658421036
0,0,36,14,-0.9357795254563309,0.23022177721682247,0.0,0,0,29.830054890631985,0,0.23022177721682247
0,0,37,89,-3.159583728169952,2.5456923350792056,0.0,0,0,28.91189850638535,0,2.5456923350792056
1,0,38,54,-11.377160168953893,1.1264940665778707,0.0,0,0,29.34270416692858,0,1.1264940665778707
0,0,39,27,0.7412320394049019,1.2156944873478002,0.0,0,0,29.666225466718036,0,1.2156944873478002
0,0,40,105,-3.974711702779636,3.10535715723861,0.0,0,0,28.715131833670434,0,3.10535715723861
