collision,energy_depleted,episode_id,episode_length,episode_return,outbound_path_length,return_path_length,return_success,task_success,terminal_energy,timeout,total_path_length
0,0,0,62,-21.347371858006607,2.7605748659613325,0.0,0,0,29.240426565520586,0,2.7605748659613325
0,0,1,62,-21.890680241994943,2.8106319042272867,0.0,0,0,29.240296392124122,0,2.8106319042272867
0,0,2,70,-22.124256780211834,2.924465878351795,0.0,0,0,29.142908791370356,0,2.924465878351795
0,0,3,65,-21.495780619222035,2.775811998897771,0.0,0,0,29.20437221393676,0,2.775811998897771
0,0,4,65,-21.50291673832155,2.7872653300417363,0.0,0,0,29.203866008727893,0,2.7872653300417363
0,0,5,71,-22.25085282424662,2.9033517965539812,0.0,0,0,29.131303528738545,0,2.9033517965539812
0,0,6,67,-21.427213974514117,2.7689373502241246,0.0,0,0,29.179894228510722,0,2.7689373502241246
0,0,7,65,-21.56408869203598,2.7921008151595936,0.0,0,0,29.203961165240433,0,2.7921008151595936
0,0,8,69,-21.441306303841454,2.7810304661354244,0.0,0,0,29.15572673760525,0,2.7810304661354244
0,0,9,68,-21.313867829223096,2.757386305283136,0.0,0,0,29.167918926935883,0,2.757386305283136
0,0,10,66,-22.031647807736437,2.833574175185077,0.0,0,0,29.191941102715496,0,2.833574175185077
0,0,11,65,-21.327960424353506,2.780806325773356,0.0,0,0,29.2040326823896,0,2.780806325773356
0,0,12,63,-21.349601152373072,2.7627250105624652,0.0,0,0,29.228340154680172,0,2.7627250105624652
0,0,13,63,-21.715485139466004,2.8037565298141525,0.0,0,0,29.22773819643199,0,2.8037565298141525
0,0,14,62,-21.422331431290228,2.7661456735911196,0.0,0,0,29.240417624025675,0,2.7661456735911196
0,0,15,69,-21.5426927477782,2.785595118142118,0.0,0,0,29.155739942241212,0,2.785595118142118
0,0,16,68,-21.447352010168757,2.7689400889654143,0.0,0,0,29.168294280860085,0,2.7689400889654143
0,0,17,63,-22.195763093063967,2.8442328066912728,0.0,0,0,29.227416690499286,0,2.8442328066912728
0,0,18,63,-21.192693669231087,2.755756095291668,0.0,0,0,29.228000714115375,0,2.755756095291668
0,0,19,68,-21.33679800828422,2.763772996545949,0.0,0,0,29.16783585976967,0,2.763772996545949
0,0,20,68,-21.27896788198854,2.760761666696353,0.0,0,0,29.16776079475172,0,2.760761666696353
0,0,21,68,-21.734864000026853,2.8018019048613523,0.0,0,0,29.16786893152828,0,2.8018019048613523
0,0,22,68,-21.774074001354386,2.811444656505755,0.0,0,0,29.167451201080475,0,2.811444656505755
0,0,23,67,-21.453831181480293,2.7929828211624015,0.0,0,0,29.1793940608951,0,2.7929828211624015
0,0,24,69,-21.653913100139704,2.805793270545917,0.0,0,0,29.155602081824448,0,2.805793270545917
0,0,25,67,-21.504419053180637,2.7802936845161192,0.0,0,0,29.17981896574749,0,2.7802936845161192
0,0,26,64,-21.46904460943563,2.7914101328088856,0.0,0,0,29.215525798292852,0,2.7914101328088856
0,0,27,67,-21.708521418827196,2.796358884634075,0.0,0,0,29.179972205229575,0,2.796358884634075
0,0,28,62,-21.64258421385577,2.7940317013923415,0.0,0,0,29.240181152811136,0,2.7940317013923415
0,0,29,69,-21.276759478107895,2.7537548896511024,0.0,0,0,29.155770628162312,0,2.7537548896511024
