method,scenario,environment_step,reward_mean,reward_std,samples
generator_sac,mission_energy_tight,100,0.023778396716143946,0.09177392642996912,300
generator_sac,mission_energy_tight,200,0.14058834729754788,0.07213105063942737,300
generator_sac,mission_energy_tight,300,0.03371358519013503,0.1016447849628586,300
generator_sac,mission_energy_tight,400,0.132877379115711,0.11215354467646943,300
generator_sac,mission_energy_tight,500,-0.04825459897122806,0.13609839274909621,300
generator_sac,mission_energy_tight,600,-0.018178742407267485,0.17822437286425027,300
generator_sac,mission_energy_tight,700,0.13112901540019212,0.19320458713059876,300
generator_sac,mission_energy_tight,800,0.13445326587029685,0.12692331572823515,300
generator_sac,mission_energy_tight,900,0.08341288532537028,0.13272900315960187,300
generator_sac,mission_energy_tight,1000,0.11116107123702301,0.11336720608703256,300
generator_sac,mission_energy_tight,1100,0.021999070569122932,0.08354304899823403,300
generator_sac,mission_energy_tight,1200,0.11556784421384628,0.15567513827894056,300
generator_sac,mission_energy_tight,1300,0.09384172288446396,0.2267583137838274,300
generator_sac,mission_energy_tight,1400,0.033841952047984354,0.09956894382346629,300
generator_sac,mission_energy_tight,1500,0.23728989763038225,0.27063308687815113,300
generator_sac,mission_energy_tight,1600,0.05760072376822185,0.10121628323924067,300
generator_sac,mission_energy_tight,1700,0.04439739239772018,0.18611574501640618,300
generator_sac,mission_energy_tight,1800,0.13695059038683302,0.274165081804894,300
generator_sac,mission_energy_tight,1900,0.16199239428575518,0.17697579039259545,300
generator_sac,mission_energy_tight,2000,0.05588026817190434,0.12185803455972036,300
generator_sac,mission_narrow,100,0.013714603169505075,0.06964841015401572,300
generator_sac,mission_narrow,200,-0.04313198867572302,0.08978626722727921,300
generator_sac,mission_narrow,300,-0.004396504836245949,0.09642917941494329,300
generator_sac,mission_narrow,400,-0.03819637964347425,0.0970783380192331,300
generator_sac,mission_narrow,500,-0.043543038327026884,0.0882809902482787,300
generator_sac,mission_narrow,600,-0.02666717342683106,0.10012396305621717,300
generator_sac,mission_narrow,700,-0.013490813352731234,0.08447377670155005,300
generator_sac,mission_narrow,800,-0.0005038572621424701,0.07561236376860192,300
generator_sac,mission_narrow,900,-0.058728012882546254,0.11296001981655485,300
generator_sac,mission_narrow,1000,-0.033764990117213296,0.07662499272330689,300
generator_sac,mission_narrow,1100,-0.004247785247044978,0.06944650107544253,300
generator_sac,mission_narrow,1200,-0.03643368495444888,0.08777030356989277,300
generator_sac,mission_narrow,1300,-0.027787510172935553,0.09445812512161444,300
generator_sac,mission_narrow,1400,-0.008569441915433827,0.08795683330894033,300
generator_sac,mission_narrow,1500,-0.003446081703560795,0.06666268800679076,300
generator_sac,mission_narrow,1600,-0.04771396608099899,0.07166372908215943,300
generator_sac,mission_narrow,1700,0.009000475641364435,0.07835840780085877,300
generator_sac,mission_narrow,1800,-0.018976493836642346,0.07238446447871058,300
generator_sac,mission_narrow,1900,-0.03826410088073525,0.10060936200015257,300
generator_sac,mission_narrow,2000,-0.01774180179913651,0.05728499503348745,300
generator_sac,mission_obstacle,100,-0.045656743106807667,0.06801817459097513,300
generator_sac,mission_obstacle,200,-0.05897013895694215,0.08275020221551224,300
generator_sac,mission_obstacle,300,-0.06040459742602046,0.08688822377584254,300
generator_sac,mission_obstacle,400,-0.07084203791463142,0.060311046380810036,300
generator_sac,mission_obstacle,500,-0.0556768299830213,0.05899289044711617,300
generator_sac,mission_obstacle,600,-0.07996815657302364,0.1029333191494086,300
generator_sac,mission_obstacle,700,-0.018956735006437707,0.1062148951578856,300
generator_sac,mission_obstacle,800,-0.057977283692445335,0.10033528610174715,300
generator_sac,mission_obstacle,900,-0.046462503027645756,0.06738854218829878,300
generator_sac,mission_obstacle,1000,-0.08871922940102417,0.0715834761200037,300
