acceleration_integral,action_jerk_proxy,certificate_failure_fallback_rate,certificate_manifest_hash,collision,deadline_fallback_rate,energy_depleted,energy_return,energy_to_task,episode_length,episode_return,evaluation_episode,fraction_steps_progressing_to_task,mean_action_delta,mean_action_norm,mean_center_norm,mean_cos_center_goal,mean_cos_exec_goal,mean_cos_residual_goal,mean_residual_norm,mean_residual_to_center_ratio,mean_task_progress_per_step,minimum_distance_to_task,mission_completion_steps,no_generator_rate,outbound_intervention_rate,outbound_path_length,return_handoff_rate,return_path_length,return_success,safety_failure_fallback_rate,scenario_id,steps_to_first_task_reach,task_completion_steps,task_success,terminal_energy,termination_reason,total_energy_consumed,total_path_length,velocity_integral
2.6841668767332907,0.03801716862984596,0.0,92ed4fbdb04a7e9f50a745d531a10de4f555a4059cfb45b156fe0ba7e7bf7c02,0,0.0,0,2.4822133075129322,0.25508156310559826,226,81.97770896942323,0,1.0,0.007603433725969192,0.059384222936577205,0.058152379734175544,0.6666666666666666,0.15355538917583986,0.0,0.0,0.0,0.03791912380952382,0.0036983999999997685,226,0.0,0.0,0.6172712000000009,1.0,4.2167294344385,1,0.0,mission_open,21,21,1,27.26270512938147,TASK_AND_RETURN_SUCCESS,2.7372948706185305,4.834000634438501,4.8476869535906895
2.6841668767332907,0.03801716862984596,0.0,92ed4fbdb04a7e9f50a745d531a10de4f555a4059cfb45b156fe0ba7e7bf7c02,0,0.0,0,2.4822133075129322,0.25508156310559826,226,81.97770896942323,1,1.0,0.007603433725969192,0.059384222936577205,0.058152379734175544,0.6666666666666666,0.15355538917583986,0.0,0.0,0.0,0.03791912380952382,0.0036983999999997685,226,0.0,0.0,0.6172712000000009,1.0,4.2167294344385,1,0.0,mission_open,21,21,1,27.26270512938147,TASK_AND_RETURN_SUCCESS,2.7372948706185305,4.834000634438501,4.8476869535906895
2.6841668767332907,0.03801716862984596,0.0,92ed4fbdb04a7e9f50a745d531a10de4f555a4059cfb45b156fe0ba7e7bf7c02,0,0.0,0,2.4822133075129322,0.25508156310559826,226,81.97770896942323,2,1.0,0.007603433725969192,0.059384222936577205,0.058152379734175544,0.6666666666666666,0.15355538917583986,0.0,0.0,0.0,0.03791912380952382,0.0036983999999997685,226,0.0,0.0,0.6172712000000009,1.0,4.2167294344385,1,0.0,mission_open,21,21,1,27.26270512938147,TASK_AND_RETURN_SUCCESS,2.7372948706185305,4.834000634438501,4.8476869535906895
2.6841668767332907,0.03801716862984596,0.0,92ed4fbdb04a7e9f50a745d531a10de4f555a4059cfb45b156fe0ba7e7bf7c02,0,0.0,0,2.4822133075129322,0.25508156310559826,226,81.97770896942323,3,1.0,0.007603433725969192,0.059384222936577205,0.058152379734175544,0.6666666666666666,0.15355538917583986,0.0,0.0,0.0,0.03791912380952382,0.0036983999999997685,226,0.0,0.0,0.6172712000000009,1.0,4.2167294344385,1,0.0,mission_open,21,21,1,27.26270512938147,TASK_AND_RETURN_SUCCESS,2.7372948706185305,4.834000634438501,4.8476869535906895
2.6841668767332907,0.03801716862984596,0.0,92ed4fbdb04a7e9f50a745d531a10de4f555a4059cfb45b156fe0ba7e7bf7c02,0,0.0,0,2.4822133075129322,0.25508156310559826,226,81.97770896942323,4,1.0,0.007603433725969192,0.059384222936577205,0.058152379734175544,0.6666666666666666,0.15355538917583986,0.0,0.0,0.0,0.03791912380952382,0.0036983999999997685,226,0.0,0.0,0.6172712000000009,1.0,4.2167294344385,1,0.0,mission_open,21,21,1,27.26270512938147,TASK_AND_RETURN_SUCCESS,2.7372948706185305,4.834000634438501,4.8476869535906895
2.6841668767332907,0.03801716862984596,0.0,92ed4fbdb04a7e9f50a745d531a10de4f555a4059cfb45b156fe0ba7e7bf7c02,0,0.0,0,2.4822133075129322,0.25508156310559826,226,81.97770896942323,5,1.0,0.007603433725969192,0.059384222936577205,0.058152379734175544,0.6666666666666666,0.15355538917583986,0.0,0.0,0.0,0.03791912380952382,0.0036983999999997685,226,0.0,0.0,0.6172712000000009,1.0,4.2167294344385,1,0.0,mission_open,21,21,1,27.26270512938147,TASK_AND_RETURN_SUCCESS,2.7372948706185305,4.834000634438501,4.8476869535906895
2.6841668767332907,0.03801716862984596,0.0,92ed4fbdb04a7e9f50a745d531a10de4f555a4059cfb45b156fe0ba7e7bf7c02,0,0.0,0,2.4822133075129322,0.25508156310559826,226,81.97770896942323,6,1.0,0.007603433725969192,0.059384222936577205,0.058152379734175544,0.6666666666666666,0.15355538917583986,0.0,0.0,0.0,0.03791912380952382,0.0036983999999997685,226,0.0,0.0,0.6172712000000009,1.0,4.2167294344385,1,0.0,mission_open,21,21,1,27.26270512938147,TASK_AND_RETURN_SUCCESS,2.7372948706185305,4.834000634438501,4.8476869535906895
2.6841668767332907,0.03801716862984596,0.0,92ed4fbdb04a7e9f50a745d531a10de4f555a4059cfb45b156fe0ba7e7bf7c02,0,0.0,0,2.4822133075129322,0.25508156310559826,226,81.97770896942323,7,1.0,0.007603433725969192,0.059384222936577205,0.058152379734175544,0.6666666666666666,0.15355538917583986,0.0,0.0,0.0,0.03791912380952382,0.0036983999999997685,226,0.0,0.0,0.6172712000000009,1.0,4.2167294344385,1,0.0,mission_open,21,21,1,27.26270512938147,TASK_AND_RETURN_SUCCESS,2.7372948706185305,4.834000634438501,4.8476869535906895
2.6841668767332907,0.03801716862984596,0.0,92ed4fbdb04a7e9f50a745d531a10de4f555a4059cfb45b156fe0ba7e7bf7c02,0,0.0,0,2.4822133075129322,0.25508156310559826,226,81.97770896942323,8,1.0,0.007603433725969192,0.059384222936577205,0.058152379734175544,0.6666666666666666,0.15355538917583986,0.0,0.0,0.0,0.03791912380952382,0.0036983999999997685,226,0.0,0.0,0.6172712000000009,1.0,4.2167294344385,1,0.0,mission_open,21,21,1,27.26270512938147,TASK_AND_RETURN_SUCCESS,2.7372948706185305,4.834000634438501,4.8476869535906895
2.6841668767332907,0.03801716862984596,0.0,92ed4fbdb04a7e9f50a745d531a10de4f555a4059cfb45b156fe0ba7e7bf7c02,0,0.0,0,2.4822133075129322,0.25508156310559826,226,81.97770896942323,9,1.0,0.007603433725969192,0.059384222936577205,0.058152379734175544,0.6666666666666666,0.15355538917583986,0.0,0.0,0.0,0.03791912380952382,0.0036983999999997685,226,0.0,0.0,0.6172712000000009,1.0,4.2167294344385,1,0.0,mission_open,21,21,1,27.26270512938147,TASK_AND_RETURN_SUCCESS,2.7372948706185305,4.834000634438501,4.8476869535906895
