collision,energy_depleted,episode_id,episode_length,episode_return,outbound_path_length,return_path_length,return_success,task_success,terminal_energy,timeout,total_path_length
1,0,0,145,-36.82575202318594,4.201475867227147,0.0,0,0,28.227877970570542,0,4.201475867227147
1,0,1,35,-17.260876564246534,0.9734175988453081,0.0,0,0,29.572290926656517,0,0.9734175988453081
1,0,2,22,-15.335755108660752,0.5796549492756049,0.0,0,0,29.73112880841712,0,0.5796549492756049
1,0,3,25,-14.988950806173296,0.5219382943688416,0.0,0,0,29.69557500407878,0,0.5219382943688416
0,0,4,260,-19.177710178113642,7.466337200425152,0.0,0,0,26.81949261712705,0,7.466337200425152
1,0,5,25,-13.662097826501018,0.855010274974766,0.0,0,0,29.694091037449457,0,0.855010274974766
0,0,6,24,1.859180112197155,0.5369632338199575,0.0,0,0,29.707202539914693,0,0.5369632338199575
1,0,7,82,-13.741559089728982,1.6665887004050666,0.0,0,0,29.000666871408,0,1.6665887004050666
1,0,8,116,-27.960513405139338,3.5572056983145455,0.0,0,0,28.57852092302284,0,3.5572056983145455
0,0,9,64,-0.6442829149048412,1.249589024283106,0.0,0,0,29.220785885329363,0,1.249589024283106
0,0,10,37,-4.973788066213255,1.3534894939001227,0.0,0,0,29.545696928452646,0,1.3534894939001227
1,0,11,36,-12.995379863590903,0.8665842191860881,0.0,0,0,29.561343947183804,0,0.8665842191860881
0,0,12,45,-3.6559290709225207,0.8568590072181875,0.0,0,0,29.45273148815713,0,0.8568590072181875
1,0,13,76,-13.218853471419058,1.8568749091635988,0.0,0,0,29.07208863281814,0,1.8568749091635988
1,0,14,111,-32.8554510385073,3.186822779509366,0.0,0,0,28.642175308848454,0,3.186822779509366
1,0,15,63,-11.79446590207238,1.3583776921112143,0.0,0,0,29.231901072231437,0,1.3583776921112143
1,0,16,33,-15.471051244747366,0.6317287607765291,0.0,0,0,29.598623690768445,0,0.6317287607765291
1,0,17,106,4.938153972207074,0.6278355038053313,2.0084901856047646,0,1,28.70813488345163,0,2.6363256894100964
0,0,18,15,-0.7563589156541771,0.26603587237716486,0.0,0,0,29.817736864425324,0,0.26603587237716486
1,0,19,36,-11.862174540934461,0.9635677628363847,0.0,0,0,29.560262639535406,0,0.9635677628363847
0,0,20,36,3.193574008434112,0.9127058314026154,0.0,0,0,29.56080593855513,0,0.9127058314026154
1,0,21,161,-17.766948363261776,4.0517527126415365,0.0,0,0,28.03429922811923,0,4.0517527126415365
0,0,22,67,20.14987954649896,0.674226470698258,1.5545328987469567,0,1,29.180274442799792,0,2.228759369445214
1,0,23,36,-11.164780498894455,1.0120211282909506,0.0,0,0,29.559973636578544,0,1.0120211282909506
1,0,24,94,-22.982745523807807,2.9553407377883545,0.0,0,0,28.847400868002516,0,2.9553407377883545
1,0,25,124,-31.879085154813044,4.142817599355295,0.0,0,0,28.479921794019344,0,4.142817599355295
1,0,26,36,-11.07977802788419,1.081948400692037,0.0,0,0,29.5588688194003,0,1.081948400692037
1,0,27,30,-16.201787349845688,0.9008406154174804,0.0,0,0,29.63311991625338,0,0.9008406154174804
