collision,energy_depleted,episode_length,episode_return,evaluation_episode,mean_center_norm,mean_residual_norm,mean_residual_to_center_ratio,metric_source,minimum_distance_to_task,mission_completion_steps,outbound_fallback_rate,outbound_intervention_rate,outbound_path_length,return_fallback_rate,return_handoff_rate,return_path_length,return_success,task_success,terminal_energy,termination_reason,total_energy_consumed,total_path_length
0,0,153,25.789278306109022,0,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,2.6489937585239054,151,0.25,0.25,0.01737104815213446,1.0,1.0,2.9914231934565017,1,0,28.171977508767846,PREMATURE_TERMINAL,1.8280224912321543,3.008794241608636
0,0,153,25.789278306109022,1,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,2.628421641643094,150,0.33333333333333337,0.33333333333333337,0.020091952620663885,1.0,1.0,2.9688730705674304,1,0,28.184033889374984,PREMATURE_TERMINAL,1.8159661106250162,2.9889650231880944
0,0,153,25.789278306109022,2,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,2.65241101028345,149,0.5,0.5,0.00796893345191233,1.0,1.0,2.980908409209092,1,0,28.19618857527908,PREMATURE_TERMINAL,1.8038114247209194,2.988877342661005
0,0,153,25.789278306109022,3,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,2.650617383482229,149,0.5,0.5,0.011402021018253791,1.0,1.0,2.9654296413612267,1,0,28.196418879968466,PREMATURE_TERMINAL,1.8035811200315344,2.97683166237948
0,0,153,25.789278306109022,4,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,2.6504606187687165,149,0.5,0.5,0.01061275855880837,1.0,1.0,2.966489175683836,1,0,28.196398163473518,PREMATURE_TERMINAL,1.8036018365264823,2.977101934242644
0,0,153,25.789278306109022,5,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,2.6475821951037504,151,0.25,0.25,0.012300993864650344,1.0,1.0,2.9814781408678495,1,0,28.1721542489493,PREMATURE_TERMINAL,1.827845751050699,2.9937791347325002
0,0,153,25.789278306109022,6,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,2.6391908355761697,152,0.25,0.25,0.015069031717585406,1.0,1.0,2.981862575794456,1,0,28.160138859591957,PREMATURE_TERMINAL,1.8398611404080434,2.9969316075120416
0,0,153,25.789278306109022,7,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,2.653356405723827,150,0.33333333333333337,0.33333333333333337,0.01844006080598053,1.0,1.0,2.969159336514318,1,0,28.184067477994795,PREMATURE_TERMINAL,1.8159325220052054,2.9875993973202988
0,0,153,25.789278306109022,8,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,2.6374691102817587,149,0.5,0.5,0.010570991568484862,1.0,1.0,2.9707987372908766,1,0,28.19625717340635,PREMATURE_TERMINAL,1.8037428265936484,2.9813697288593612
0,0,153,25.789278306109022,9,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,2.650956656701656,151,0.33333333333333337,0.33333333333333337,0.013100744497004178,1.0,1.0,2.990736906053942,1,0,28.172090592206587,PREMATURE_TERMINAL,1.8279094077934133,3.003837650550947
0,0,153,25.789278306109022,10,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,2.6473423205798303,150,0.33333333333333337,0.33333333333333337,0.0076470969119034555,1.0,1.0,2.9732862585319646,1,0,28.1843147378313,PREMATURE_TERMINAL,1.8156852621686994,2.9809333554438684
0,0,153,25.789278306109022,11,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,2.6333428104042502,151,0.25,0.25,0.023001361209492484,1.0,1.0,2.9596411452534537,1,0,28.172153745851553,PREMATURE_TERMINAL,1.8278462541484473,2.982642506462946
0,0,153,25.789278306109022,12,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,2.6261208271549608,151,0.33333333333333337,0.33333333333333337,0.019028528506071098,1.0,1.0,2.9685745295380346,1,0,28.172108169722964,PREMATURE_TERMINAL,1.8278918302770357,2.987603058044106
0,0,153,25.789278306109022,13,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,2.6498295027166847,149,0.5,0.5,0.007452192788662722,1.0,1.0,2.9697254364268764,1,0,28.196437772900037,PREMATURE_TERMINAL,1.8035622270999632,2.9771776292155394
0,0,153,25.789278306109022,14,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,2.616905740393811,154,0.19999999999999996,0.19999999999999996,0.02816331616376409,1.0,1.0,2.9841526033409256,1,0,28.135899283600235,PREMATURE_TERMINAL,1.864100716399765,3.0123159195046902
0,0,153,25.789278306109022,15,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,2.6531292353457734,149,0.5,0.5,0.01060811722963734,1.0,1.0,2.9736331951043877,1,0,28.19620420241704,PREMATURE_TERMINAL,1.8037957975829606,2.984241312334025
0,0,153,25.789278306109022,16,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,2.653322708912421,149,0.5,0.5,0.010403414916976416,1.0,1.0,2.98613225892343,1,0,28.19612558518441,PREMATURE_TERMINAL,1.8038744148155885,2.9965356738404054
0,0,153,25.789278306109022,17,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,2.639930479726044,152,0.19999999999999996,0.19999999999999996,0.016545674541408577,1.0,1.0,2.9696979275303543,1,0,28.16023382472317,PREMATURE_TERMINAL,1.8397661752768286,2.9862436020717626
0,0,153,25.789278306109022,18,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,2.6468309084824377,153,0.16666666666666663,0.16666666666666663,0.027905001299350998,1.0,1.0,2.9910960551659396,1,0,28.147801312142615,PREMATURE_TERMINAL,1.8521986878573848,3.01900105646529
0,0,153,25.789278306109022,19,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,2.6149295697116566,153,0.25,0.25,0.027766960286171677,1.0,1.0,2.985004946532655,1,0,28.147929178675728,PREMATURE_TERMINAL,1.852070821324272,3.012771906818827
