accepted,actor_loss,alpha,critic_loss_1,critic_loss_2,elapsed_seconds,energy,entropy,environment_step,episode_id,episode_step,fallback,fallback_reason,gradient_norm,mission_phase,q_value_exec,reward,zonotope_volume
1,,,,,0.0011698930175043643,29.98798484478855,,1,0,1,0,,,OUTBOUND,,-0.01764431116073513,
1,,,,,0.002242585993371904,29.975918898427352,,2,0,2,0,,,OUTBOUND,,-0.008186212757671847,
1,,,,,0.003138739994028583,29.963808114621475,,3,0,3,0,,,OUTBOUND,,-0.013662736228492017,
1,,,,,0.004058660997543484,29.951682748996117,,4,0,4,0,,,OUTBOUND,,-0.036269234948075546,
1,,,,,0.004988130007404834,29.939584734153257,,5,0,5,0,,,OUTBOUND,,-0.02345387279419846,
1,,,,,0.00580464000813663,29.927464568707837,,6,0,6,0,,,OUTBOUND,,0.01757319147031443,
1,,,,,0.006658315018285066,29.915383465127118,,7,0,7,0,,,OUTBOUND,,0.02705018169497452,
1,,,,,0.007487191003747284,29.90328683182166,,8,0,8,0,,,OUTBOUND,,0.03425586610864032,
1,,,,,0.008301448018755764,29.891176359409744,,9,0,9,0,,,OUTBOUND,,0.09332787144521666,
1,,,,,0.009098556998651475,29.879021946792644,,10,0,10,0,,,OUTBOUND,,0.09484257240835399,
1,,,,,0.009953177999705076,29.86690510732916,,11,0,11,0,,,OUTBOUND,,0.09627139824338128,
1,,,,,0.010868526005651802,29.85475764363753,,12,0,12,0,,,OUTBOUND,,0.1308537618470193,
1,,,,,0.011825766006950289,29.842636144834508,,13,0,13,0,,,OUTBOUND,,0.13865073627272081,
1,,,,,0.01285905300755985,29.83049043465545,,14,0,14,0,,,OUTBOUND,,0.17272354750846416,
1,,,,,0.013678371004061773,29.818314151423824,,15,0,15,0,,,OUTBOUND,,0.1934099517062133,
1,,,,,0.014516024006297812,29.80616508155567,,16,0,16,0,,,OUTBOUND,,0.1910879196206414,
1,,,,,0.016064377006841823,29.793968048883343,,17,0,17,0,,,OUTBOUND,,0.1732358167965562,
1,,,,,0.01702044901321642,29.781794698345877,,18,0,18,0,,,OUTBOUND,,0.17810478488661266,
1,,,,,0.01792552400729619,29.769571465303034,,19,0,19,0,,,OUTBOUND,,0.24083229348819676,
1,,,,,0.018963881011586636,29.757321273536395,,20,0,20,0,,,OUTBOUND,,0.26348933382833295,
1,,,,,0.01995090499985963,29.74509186242264,,21,0,21,0,,,OUTBOUND,,0.23619658930676443,
1,,,,,0.021129180007847026,29.732833702953677,,22,0,22,0,,,OUTBOUND,,0.19516528489173363,
1,,,,,0.022119001019746065,29.7206026031784,,23,0,23,0,,,OUTBOUND,,0.17295635813462878,
1,,,,,0.02330574599909596,29.708360930619794,,24,0,24,0,,,OUTBOUND,,0.17274122885342394,
