acceleration_integral,action_jerk_proxy,certificate_failure_fallback_rate,certificate_manifest_hash,collision,deadline_fallback_rate,energy_depleted,energy_return,energy_to_task,episode_length,episode_return,evaluation_episode,fraction_steps_progressing_to_task,mean_action_delta,mean_action_norm,mean_center_norm,mean_cos_center_goal,mean_cos_exec_goal,mean_cos_residual_goal,mean_residual_norm,mean_residual_to_center_ratio,mean_task_progress_per_step,minimum_distance_to_task,mission_completion_steps,no_generator_rate,outbound_intervention_rate,outbound_path_length,residual_metric_note,return_handoff_rate,return_path_length,return_success,safety_failure_fallback_rate,scenario_id,steps_to_first_task_reach,task_completion_steps,task_success,terminal_energy,termination_reason,total_energy_consumed,total_path_length,velocity_integral
5.354147789637864,0.05489550475613271,0.0,21326cc433ddc5a102ebfb2288e42c4602034dd7b31e248ec5e569cbcf886320,0,0.0,0,3.6965087785058657,1.771116366695889,451,109.58062591086274,0,0.8561643835616438,0.010979100951226542,0.0593586229449874,0.057778726978651614,0.11451787218836432,0.061319943494105064,,,,0.018147672577430163,0.0004398036951964159,451,0.0,0.0,3.376486297489105,not reused when accepted-branch provenance is unavailable,1.0,6.686235319686662,1,0.0,mission_obstacle,146,146,1,24.532374854798245,TASK_AND_RETURN_SUCCESS,5.467625145201755,10.062721617175766,10.081556448706964
5.356578561681073,0.05505957892145648,0.0,21326cc433ddc5a102ebfb2288e42c4602034dd7b31e248ec5e569cbcf886320,0,0.0,0,3.696514667567911,1.7711105419422921,451,109.58231442983043,1,0.8561643835616438,0.011011915784291296,0.05938557163726247,0.05753325439258563,0.1207520099856638,0.06099351306791668,,,,0.0181451335949164,0.0008104951422053793,451,0.0,0.0,3.3756872051943403,not reused when accepted-branch provenance is unavailable,1.0,6.68655073738251,1,0.0,mission_obstacle,146,146,1,24.532374790489797,TASK_AND_RETURN_SUCCESS,5.467625209510203,10.06223794257685,10.081670888468677
5.341560787875524,0.05471609043778209,0.0,21326cc433ddc5a102ebfb2288e42c4602034dd7b31e248ec5e569cbcf886320,0,0.0,0,3.696531881190559,1.7710711053954498,451,109.55106506812511,2,0.863013698630137,0.010943218087556418,0.05921907747090386,0.05768277024534492,0.13868195884852172,0.05187537381432149,,,,0.018141581854608766,0.001329049227119841,451,0.0,0.0,3.367609579673256,not reused when accepted-branch provenance is unavailable,1.0,6.689068273413663,1,0.0,mission_obstacle,146,146,1,24.53239701341399,TASK_AND_RETURN_SUCCESS,5.467602986586009,10.056677853086919,10.07545258897422
5.364087637627633,0.0546278955949223,0.0,21326cc433ddc5a102ebfb2288e42c4602034dd7b31e248ec5e569cbcf886320,0,0.0,0,3.696532966256438,1.7831084955376362,452,109.55326559230323,3,0.8639455782312925,0.01092557911898446,0.059337252628624285,0.05803413786952218,0.1308314397911817,0.05674673418496764,,,,0.01802293081574734,0.0006291700851404151,452,0.0,0.0,3.3789255349652825,not reused when accepted-branch provenance is unavailable,1.0,6.6879623088643685,1,0.0,mission_obstacle,147,147,1,24.520358538205926,TASK_AND_RETURN_SUCCESS,5.479641461794074,10.066887843829651,10.085881610201033
5.34252533364898,0.05489230218712495,0.0,21326cc433ddc5a102ebfb2288e42c4602034dd7b31e248ec5e569cbcf886320,0,0.0,0,3.6965278651425066,1.7710658197116906,451,109.57501178709946,4,0.863013698630137,0.010978460437424991,0.059229770883026375,0.05733415479044696,0.1754257504892489,0.06250605714895144,,,,0.0181408346928295,0.0014381348468930932,451,0.0,0.0,3.3707459116760816,not reused when accepted-branch provenance is unavailable,1.0,6.687743324453957,1,0.0,mission_obstacle,146,146,1,24.532406315145803,TASK_AND_RETURN_SUCCESS,5.467593684854197,10.05848923613004,10.07696021030516
5.364925033898445,0.05499959923780312,0.0,21326cc433ddc5a102ebfb2288e42c4602034dd7b31e248ec5e569cbcf886320,0,0.0,0,3.6965391688219356,1.7711934633166884,451,109.55658490755721,5,0.8424657534246576,0.010999919847560624,0.05947810458867459,0.05865846657542282,0.13156804155541837,0.06716431503394762,,,,0.018143920327553673,0.000987632177163711,451,0.0,0.0,3.388493025635546,not reused when accepted-branch provenance is unavailable,1.0,6.688144169959394,1,0.0,mission_obstacle,146,146,1,24.532267367861376,TASK_AND_RETURN_SUCCESS,5.467732632138624,10.076637195594941,10.095523281427829
5.357034553708459,0.05393609510498999,0.0,21326cc433ddc5a102ebfb2288e42c4602034dd7b31e248ec5e569cbcf886320,0,0.0,0,3.696544581520765,1.7711509945739863,451,109.55644233137683,6,0.8561643835616438,0.010787219020998,0.059390626981246794,0.05830511724863885,0.11439855326343988,0.04814687620444941,,,,0.018143641821868915,0.0010282940071382975,451,0.0,0.0,3.3759781335260763,not reused when accepted-branch provenance is unavailable,1.0,6.6903949561239715,1,0.0,mission_obstacle,146,146,1,24.53230442390525,TASK_AND_RETURN_SUCCESS,5.467695576094751,10.066373089650048,10.085325091238971
5.356062628839437,0.05429062131538164,0.0,21326cc433ddc5a102ebfb2288e42c4602034dd7b31e248ec5e569cbcf886320,0,0.0,0,3.6965263151319974,1.7831651590743043,452,109.55264304673773,7,0.8435374149659864,0.010858124263076328,0.059248480407515916,0.05773384721684781,0.16528408899629976,0.0703866247794847,,,,0.018020992176270373,0.0009141500882548065,452,0.0,0.0,3.383687872057117,not reused when accepted-branch provenance is unavailable,1.0,6.687621041160388,1,0.0,mission_obstacle,147,147,1,24.5203085257937,TASK_AND_RETURN_SUCCESS,5.479691474206302,10.071308913217505,10.090218698583985
5.351628511822778,0.054327494424198874,0.0,21326cc433ddc5a102ebfb2288e42c4602034dd7b31e248ec5e569cbcf886320,0,0.0,0,3.696516767677057,1.7711521739990523,451,109.57624528113959,8,0.8561643835616438,0.010865498884839776,0.059330693035729236,0.05797050610761236,0.17377383090006138,0.05126476313343268,,,,0.01814706515174397,0.0005284878453804025,451,0.0,0.0,3.383928238357691,not reused when accepted-branch provenance is unavailable,1.0,6.686460367446121,1,0.0,mission_obstacle,146,146,1,24.53233105832389,TASK_AND_RETURN_SUCCESS,5.467668941676109,10.070388605803812,10.089123060273216
5.356805964019413,0.0539960159446326,0.0,21326cc433ddc5a102ebfb2288e42c4602034dd7b31e248ec5e569cbcf886320,0,0.0,0,3.6965203663462134,1.7711283818642976,451,109.56944434335666,9,0.8424657534246576,0.01079920318892652,0.05938809272748799,0.05793692339886195,0.0715654295859822,0.04913632953467818,,,,0.018144551697688478,0.0008954521374818918,451,0.0,0.0,3.3785442668623302,not reused when accepted-branch provenance is unavailable,1.0,6.686591828771321,1,0.0,mission_obstacle,146,146,1,24.53235125178949,TASK_AND_RETURN_SUCCESS,5.467648748210511,10.065136095633651,10.083966438335773
