accepted,actor_loss,alpha,critic_loss_1,critic_loss_2,elapsed_seconds,energy,entropy,environment_step,episode_id,episode_step,fallback,fallback_reason,gradient_norm,mission_phase,q_value_exec,reward,zonotope_volume
1,,,,,0.0012095329875592142,29.98797044224193,,1,0,1,0,,,OUTBOUND,,0.022310627434200713,
1,,,,,0.0020941949915140867,29.975894944801027,,2,0,2,0,,,OUTBOUND,,0.04115197404550649,
1,,,,,0.0030170529789756984,29.96381401608431,,3,0,3,0,,,OUTBOUND,,0.020790931746780483,
1,,,,,0.003889557992806658,29.951695373278415,,4,0,4,0,,,OUTBOUND,,0.03226427999758616,
1,,,,,0.0050550820014905185,29.939615476738037,,5,0,5,0,,,OUTBOUND,,0.0714567808514168,
1,,,,,0.00592678997782059,29.927518427963186,,6,0,6,0,,,OUTBOUND,,0.06590333022302897,
1,,,,,0.006828017998486757,29.91544552997418,,7,0,7,0,,,OUTBOUND,,0.02265708688123019,
1,,,,,0.007672494975849986,29.903398785592973,,8,0,8,0,,,OUTBOUND,,0.004935951468614879,
1,,,,,0.008561872004065663,29.89132473256009,,9,0,9,0,,,OUTBOUND,,0.019988349108519005,
1,,,,,0.009395041997777298,29.879267193878885,,10,0,10,0,,,OUTBOUND,,0.011714876313475172,
1,,,,,0.010341891000280157,29.86721405474334,,11,0,11,0,,,OUTBOUND,,-0.04021816498410042,
1,,,,,0.011157785978866741,29.85513397651385,,12,0,12,0,,,OUTBOUND,,-0.05989040942920504,
1,,,,,0.011976843990851194,29.843040581998785,,13,0,13,0,,,OUTBOUND,,-0.049771302544204116,
1,,,,,0.012801499979104847,29.83093085699208,,14,0,14,0,,,OUTBOUND,,-0.037598489647088784,
1,,,,,0.013644235994433984,29.81880757210008,,15,0,15,0,,,OUTBOUND,,-0.0454104084045528,
1,,,,,0.01455593400169164,29.806672699380716,,16,0,16,0,,,OUTBOUND,,-0.06291393789830037,
1,,,,,0.016009757004212588,29.79450269829436,,17,0,17,0,,,OUTBOUND,,-0.04055575381377378,
1,,,,,0.01692930600256659,29.782329312994584,,18,0,18,0,,,OUTBOUND,,-0.04145737203369838,
1,,,,,0.017769714002497494,29.770131795610602,,19,0,19,0,,,OUTBOUND,,-0.09589551152350458,
1,,,,,0.01867603199207224,29.757873518525606,,20,0,20,0,,,OUTBOUND,,-0.10091990274913405,
1,,,,,0.019556952989660203,29.74566592682567,,21,0,21,0,,,OUTBOUND,,-0.11096865610005095,
1,,,,,0.02033514398499392,29.733418482510032,,22,0,22,0,,,OUTBOUND,,-0.12392278075591764,
1,,,,,0.02164476297912188,29.72122468294236,,23,0,23,0,,,OUTBOUND,,-0.09183374102494857,
1,,,,,0.02294064700254239,29.70898235877375,,24,0,24,0,,,OUTBOUND,,-0.10874584472197668,
1,,,,,0.02410210599191487,29.69677135432414,,25,0,25,0,,,OUTBOUND,,-0.13852963370089802,
1,,,,,0.025311703997431323,29.684563812405713,,26,0,26,0,,,OUTBOUND,,-0.13458516306548918,
1,,,,,0.026368953986093402,29.67232504815873,,27,0,27,0,,,OUTBOUND,,-0.09830436224890587,
1,,,,,0.027352379984222353,29.66014634152734,,28,0,28,0,,,OUTBOUND,,-0.05286820473623494,
1,,,,,0.028219028987223282,29.64795569566309,,29,0,29,0,,,FAILURE,,-20.066786167570367,
1,,,,,0.03000746900215745,29.987982532809955,,30,1,1,0,,,OUTBOUND,,-0.019121245043652927,
1,,,,,0.03094186299131252,29.975925113614498,,31,1,2,0,,,OUTBOUND,,-0.05130368214619588,
1,,,,,0.03179156000260264,29.963834298870164,,32,1,3,0,,,OUTBOUND,,-0.09169389633169195,
1,,,,,0.03261304699117318,29.951704609589996,,33,1,4,0,,,OUTBOUND,,-0.09984319511204107,
1,,,,,0.0335206119925715,29.939565330928193,,34,1,5,0,,,OUTBOUND,,-0.07992753849180265,
1,,,,,0.0344309109786991,29.927438705033296,,35,1,6,0,,,OUTBOUND,,-0.059226036169270954,
1,,,,,0.03535147098591551,29.915374330085324,,36,1,7,0,,,OUTBOUND,,-0.04658539402383397,
1,,,,,0.036229770979844034,29.9032558814371,,37,1,8,0,,,OUTBOUND,,-0.061737520742790465,
1,,,,,0.036961073987185955,29.89115586344932,,38,1,9,0,,,OUTBOUND,,-0.09768769823905607,
1,,,,,0.037773356976686046,29.879025743394195,,39,1,10,0,,,OUTBOUND,,-0.14234705135647446,
1,,,,,0.038693656999384984,29.866898125130454,,40,1,11,0,,,OUTBOUND,,-0.15720004188628506,
1,,,,,0.039506264991359785,29.854762432531942,,41,1,12,0,,,OUTBOUND,,-0.12094236466260407,
1,,,,,0.04031781098456122,29.8426787559096,,42,1,13,0,,,OUTBOUND,,-0.10041362468543401,
1,,,,,0.0410785999847576,29.830548216815487,,43,1,14,0,,,OUTBOUND,,-0.1270674346474244,
1,,,,,0.04196892798063345,29.818384485188883,,44,1,15,0,,,OUTBOUND,,-0.16389149515245174,
1,,,,,0.042778731003636494,29.806164740698335,,45,1,16,0,,,OUTBOUND,,-0.15715657480080011,
1,,,,,0.04371512998477556,29.79403443460305,,46,1,17,0,,,OUTBOUND,,-0.1280410988775607,
1,,,,,0.044563406001543626,29.781948303141757,,47,1,18,0,,,OUTBOUND,,-0.11966747208576026,
