acceleration_integral,action_jerk_proxy,certificate_failure_fallback_rate,certificate_manifest_hash,collision,deadline_fallback_rate,energy_depleted,energy_return,energy_to_task,episode_length,episode_return,evaluation_episode,fraction_steps_progressing_to_task,mean_action_delta,mean_action_norm,mean_center_norm,mean_cos_center_goal,mean_cos_exec_goal,mean_cos_residual_goal,mean_residual_norm,mean_residual_to_center_ratio,mean_task_progress_per_step,minimum_distance_to_task,mission_completion_steps,no_generator_rate,outbound_intervention_rate,outbound_path_length,residual_metric_note,return_handoff_rate,return_path_length,return_success,safety_failure_fallback_rate,scenario_id,steps_to_first_task_reach,task_completion_steps,task_success,terminal_energy,termination_reason,total_energy_consumed,total_path_length,velocity_integral
2.692277642219054,0.041860841462023596,0.0,92ed4fbdb04a7e9f50a745d531a10de4f555a4059cfb45b156fe0ba7e7bf7c02,0,0.0,0,2.4822286496983637,0.2551257243490106,226,81.97496087569822,0,1.0,0.00837216829240472,0.05956366465086399,0.05976187214341935,0.5442145292013955,0.13913359559787392,,,,0.037935230278595314,0.003360164149498445,226,0.0,0.0,0.618598974104695,not reused when accepted-branch provenance is unavailable,1.0,4.215847887830342,1,0.0,mission_open,21,21,1,27.262645625952626,TASK_AND_RETURN_SUCCESS,2.7373543740473743,4.834446861935037,4.848071785321071
2.6942072924677327,0.04251318865253399,0.0,92ed4fbdb04a7e9f50a745d531a10de4f555a4059cfb45b156fe0ba7e7bf7c02,0,0.0,0,2.4822228405061146,0.2551203344382813,226,81.9719273836983,1,1.0,0.0085026377305068,0.059606356028047196,0.05997448462653292,0.5301985202772401,0.14005588628587728,,,,0.03793764711731686,0.003309410536345949,226,0.0,0.0,0.6182821672380293,not reused when accepted-branch provenance is unavailable,1.0,4.21589997377355,1,0.0,mission_open,21,21,1,27.262656825055604,TASK_AND_RETURN_SUCCESS,2.737343174944396,4.8341821410115795,4.847836026063488
2.691465274074374,0.0411350457144081,0.0,92ed4fbdb04a7e9f50a745d531a10de4f555a4059cfb45b156fe0ba7e7bf7c02,0,0.0,0,2.482218074027813,0.25512524579022866,226,81.98667310943239,2,1.0,0.00822700914288162,0.05954569190430029,0.05795645111721163,0.6019310131181258,0.12877735200051366,,,,0.037896759431424995,0.004168051940075117,226,0.0,0.0,0.6180113890132685,not reused when accepted-branch provenance is unavailable,1.0,4.2154163042839805,1,0.0,mission_open,21,21,1,27.26265668018196,TASK_AND_RETURN_SUCCESS,2.7373433198180415,4.833427693297249,4.847160055258776
2.6896513979781047,0.04122336720110228,0.0,92ed4fbdb04a7e9f50a745d531a10de4f555a4059cfb45b156fe0ba7e7bf7c02,0,0.0,0,2.4822164660642763,0.2551301526262151,226,81.98080913685764,3,1.0,0.008244673440220457,0.059505561902170476,0.05698291358817783,0.7228887021425924,0.14005033220848226,,,,0.03792576195732173,0.0035589988962436187,226,0.0,0.0,0.61785562784453,not reused when accepted-branch provenance is unavailable,1.0,4.216172425003749,1,0.0,mission_open,21,21,1,27.26265338130951,TASK_AND_RETURN_SUCCESS,2.7373466186904913,4.834028052848279,4.847707384495582
2.691386047285949,0.042246709174425315,0.0,92ed4fbdb04a7e9f50a745d531a10de4f555a4059cfb45b156fe0ba7e7bf7c02,0,0.0,0,2.4822205703355493,0.25511002757752266,226,81.98175107960519,4,1.0,0.008449341834885063,0.05954393909924668,0.058780995609086506,0.5758375171862181,0.1492002889453664,,,,0.037930593062487084,0.0034575456877713215,226,0.0,0.0,0.617610469419931,not reused when accepted-branch provenance is unavailable,1.0,4.216564503254039,1,0.0,mission_open,21,21,1,27.262669402086928,TASK_AND_RETURN_SUCCESS,2.737330597913072,4.834174972673971,4.847847796586231
2.691556461664311,0.042105498387100544,0.0,92ed4fbdb04a7e9f50a745d531a10de4f555a4059cfb45b156fe0ba7e7bf7c02,0,0.0,0,2.482228641007783,0.2551083562021468,226,81.96086263843364,5,1.0,0.00842109967742011,0.05954770932885644,0.06009971339307609,0.7040839264451123,0.15988630971630186,,,,0.037886634556468166,0.0043806743141685716,226,0.0,0.0,0.6161389997068121,not reused when accepted-branch provenance is unavailable,1.0,4.217684510372187,1,0.0,mission_open,21,21,1,27.26266300279007,TASK_AND_RETURN_SUCCESS,2.7373369972099297,4.833823510078999,4.84757471450445
2.691888879455738,0.0417294250545127,0.0,92ed4fbdb04a7e9f50a745d531a10de4f555a4059cfb45b156fe0ba7e7bf7c02,0,0.0,0,2.482235965610382,0.25510123168080057,226,81.96890961910754,6,1.0,0.00834588501090254,0.05955506370477294,0.05974902449176288,0.7272707270745463,0.18091910450005882,,,,0.03791760674572629,0.003730258339747786,226,0.0,0.0,0.6164078112649032,not reused when accepted-branch provenance is unavailable,1.0,4.2180152056905715,1,0.0,mission_open,21,21,1,27.262662802708817,TASK_AND_RETURN_SUCCESS,2.7373371972911826,4.8344230169554745,4.848097659054869
2.6912065538948493,0.042851061351161304,0.0,92ed4fbdb04a7e9f50a745d531a10de4f555a4059cfb45b156fe0ba7e7bf7c02,0,0.0,0,2.482219331492839,0.2551317911492177,226,81.98385978390672,7,1.0,0.00857021227023226,0.05953996800652319,0.058376684021298156,0.616408034246351,0.14704661436885022,,,,0.03792369107749175,0.00360248737267327,226,0.0,0.0,0.6179959761632288,not reused when accepted-branch provenance is unavailable,1.0,4.216003720460653,1,0.0,mission_open,21,21,1,27.262648877357943,TASK_AND_RETURN_SUCCESS,2.737351122642057,4.833999696623882,4.847683931164575
2.6920559163377877,0.04231513719852548,0.0,92ed4fbdb04a7e9f50a745d531a10de4f555a4059cfb45b156fe0ba7e7bf7c02,0,0.0,0,2.4822285933385437,0.25512457453725546,226,81.9855439783314,8,1.0,0.008463027439705097,0.05955875921101303,0.06026773590202159,0.5760820855983614,0.15755807082961817,,,,0.03797218987937002,0.002584012533229716,226,0.0,0.0,0.6178068888537847,not reused when accepted-branch provenance is unavailable,1.0,4.217212203531146,1,0.0,mission_open,21,21,1,27.2626468321242,TASK_AND_RETURN_SUCCESS,2.737353167875799,4.835019092384931,4.848605983373272
2.6928148434182644,0.04337268899450547,0.0,92ed4fbdb04a7e9f50a745d531a10de4f555a4059cfb45b156fe0ba7e7bf7c02,0,0.0,0,2.4822316737046712,0.2551081736866365,226,81.96669237638649,9,1.0,0.008674537798901094,0.05957554963314737,0.059495944757085854,0.7178400246623982,0.15887932888171863,,,,0.03791546807479501,0.003775170429304714,226,0.0,0.0,0.6169103099522092,not reused when accepted-branch provenance is unavailable,1.0,4.217309165531461,1,0.0,mission_open,21,21,1,27.262660152608692,TASK_AND_RETURN_SUCCESS,2.7373398473913078,4.83421947548367,4.847906806169899
