collision,energy_depleted,episode_id,episode_length,episode_return,outbound_path_length,return_path_length,return_success,task_success,terminal_energy,timeout,total_path_length
0,0,0,49,-17.386580792372484,1.2791488993027627,0.0,0,0,4.902423659130502,0,1.2791488993027627
1,0,1,37,-36.61833487364884,0.9859266084670909,0.0,0,0,5.048125340881648,0,0.9859266084670909
1,0,2,44,-31.815072104967232,1.0027824010792843,0.0,0,0,4.963869132390877,0,1.0027824010792843
1,0,3,43,-30.70813803164951,1.259118568444494,0.0,0,0,4.974301001421129,0,1.259118568444494
0,0,4,60,-21.171151953606717,1.1540828584230756,0.0,0,0,4.769799627111726,0,1.1540828584230756
0,0,5,16,-17.75937903026603,0.4298373363070881,0.0,0,0,5.304280983793637,0,0.4298373363070881
1,0,6,33,-37.10208209000518,0.9643185343011372,0.0,0,0,5.096533421405878,0,0.9643185343011372
1,0,7,24,-31.813163808630662,0.9470052281700329,0.0,0,0,5.204829793961905,0,0.9470052281700329
1,0,8,80,-34.412896934300086,1.6163758052482107,0.0,0,0,4.5257887566354285,0,1.6163758052482107
1,0,9,28,-35.06918020532243,0.5173874430469898,0.0,0,0,5.159678340028821,0,0.5173874430469898
0,0,10,42,-26.029929844443423,1.3179711683580642,0.0,0,0,4.986659847439475,0,1.3179711683580642
1,0,11,40,-35.88502761231655,0.6979458954993326,0.0,0,0,5.013620155739698,0,0.6979458954993326
1,0,12,74,-31.336541579741315,1.190934830837296,0.0,0,0,4.601314774397372,0,1.190934830837296
1,0,13,51,-36.80310384193719,1.0880991435055523,0.0,0,0,4.879181150256589,0,1.0880991435055523
1,0,14,30,-35.215240669479286,0.5668454569831614,0.0,0,0,5.13529080786102,0,0.5668454569831614
0,0,15,111,-26.012814844984995,2.4382667026493285,0.0,0,0,4.1467710019052,0,2.4382667026493285
1,0,16,41,-34.19139057192779,1.0854932381989038,0.0,0,0,4.999796370319394,0,1.0854932381989038
1,0,17,20,-35.0896308343953,0.5172141407577222,0.0,0,0,5.256149978825414,0,0.5172141407577222
1,0,18,99,-16.811409606336866,0.7267700040954137,1.9730250679112362,0,1,4.289764712878016,0,2.6997950720066517
1,0,19,45,-36.179653676015974,0.9675350026742875,0.0,0,0,4.952555357956921,0,0.9675350026742875
1,0,20,27,-34.926495206612834,0.4942799234711107,0.0,0,0,5.172120181519754,0,0.4942799234711107
1,0,21,25,-35.12913087509639,0.5484513171900746,0.0,0,0,5.195423875726068,0,0.5484513171900746
1,0,22,36,-35.14501482933379,0.609770542396016,0.0,0,0,5.062666798884315,0,0.609770542396016
1,0,23,32,-32.24533793346637,0.9551029533037367,0.0,0,0,5.108476146400548,0,0.9551029533037367
1,0,24,75,-36.184182969536934,1.2828153681635834,0.0,0,0,4.5889314469454785,0,1.2828153681635834
1,0,25,27,-34.92133346523853,0.5089119448846751,0.0,0,0,5.171955451786382,0,0.5089119448846751
1,0,26,22,-36.434092322333434,0.8199779289759532,0.0,0,0,5.2293511678267794,0,0.8199779289759532
1,0,27,20,-35.19449341420943,0.5476044799123047,0.0,0,0,5.255770495959112,0,0.5476044799123047
0,0,28,41,-18.375455567148695,1.2717513135541945,0.0,0,0,4.997888418151627,0,1.2717513135541945
1,0,29,40,-31.304297795304173,1.0547852840989194,0.0,0,0,5.011449814690244,0,1.0547852840989194
0,0,30,62,-34.998201872903095,2.1721624949436706,0.0,0,0,4.74083235389602,0,2.1721624949436706
1,0,31,19,-34.81721128146342,0.4763606537024841,0.0,0,0,5.268619325213265,0,0.4763606537024841
1,0,32,70,-30.97333612609309,1.4458199463053616,0.0,0,0,4.647697332129072,0,1.4458199463053616
1,0,33,39,-33.8871287352804,1.0197332388156914,0.0,0,0,5.023842579901626,0,1.0197332388156914
1,0,34,56,-31.73224735553161,1.4373677626868835,0.0,0,0,4.815710032533111,0,1.4373677626868835
1,0,35,44,-33.65256127922513,1.0105805904017282,0.0,0,0,4.964250267662295,0,1.0105805904017282
0,0,36,67,-20.019227648402467,1.5655699437474226,0.0,0,0,4.683248738141972,0,1.5655699437474226
1,0,37,53,-30.901530140453445,1.3034076803528087,0.0,0,0,4.8526731211116365,0,1.3034076803528087
0,0,38,66,-25.666650539209183,1.6440281408437507,0.0,0,0,4.6957028415123965,0,1.6440281408437507
1,0,39,29,-36.2442347650469,0.7630179414377523,0.0,0,0,5.145808431912292,0,0.7630179414377523
0,0,40,47,-21.62493086552232,1.6791475463034566,0.0,0,0,4.923425593818151,0,1.6791475463034566
0,0,41,56,-32.91232522970448,2.584985004062907,0.0,0,0,4.808115291558496,0,2.584985004062907
